Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Hur fick du reda på information om iZettle?,"2. 2. Hur nöjd är du i helhet med iZettle, på en skala 1 till 10?",3. 3. Hur sannolikt är det att du skulle rekommendera iZettle till en vän eller kollega?,"4.1. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Vår kommunikation (t.ex. om nya funktioner, tips och trick, kontouppdateringar)","4.2. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Utbetalningar","4.3. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kortläsare","4.4. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Att ta betalt","4.5. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Att erbjuda kunder kvitton","4.6. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kompatibilitet med tillbehör (t.ex. skrivare, ställ, streckkodsläsare osv.)

","4.7. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kundsupport","4.8. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Det totala beloppet du kan acceptera per kortbetalning","4.9. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Transaktionsavgifter","4.10. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Ditt konto på my.izettle.com","4.11. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Försäljningsrapporter",5. 5. Vilka av följande produkter/tjänster/lösningar tror eller vet du att iZettle kan erbjuda småföretag?,,,,,,,,,,,6. 6. Vi vill alltid utvecklas och förbättra tjänsten för våra kunder. Ange nedan om det finns något du är missnöjd med:,7. 7. Vi vill alltid utvecklas och förbättra tjänsten för våra kunder. Ange nedan om det är någon funktion som du saknar idag:
2019-04-25 16:38:52 UTC,2019-04-25 16:44:31 UTC,completed,android,Chrome 73.0.3683.90,8e9cfb30-487b-11e8-b3ad-9ca50c8edf46,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Sociala medier,7,7,3,3,3,3,4,2,3,3,3,3,3,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Inte just nu,Inte just nu
2019-04-26 17:17:51 UTC,2019-04-26 17:20:09 UTC,completed,android,Chrome 67.0.3396.87,b81b4b20-4983-11e8-b31c-01984a871429,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,10,10,5,5,4,4,4,NA,4,5,4,5,3,,,,,,,,Bokföringsverktyg/Bokföringstjänst,,,,Inget,Inget
2019-04-27 21:16:50 UTC,2019-04-27 21:19:04 UTC,completed,ios,Safari 12.0,527927ea-2229-11e9-b9e0-833ea3b63e43,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Genom rekommendationer från någon,9,9,4,5,5,5,5,5,4,3,3,NA,5,Kortläsare,,,,,,,,,Faktura,,Tycker att avgifter ör ngt hög,Nej
2019-04-28 18:52:57 UTC,2019-04-28 18:56:18 UTC,completed,android,Chrome 74.0.3729.112,d66a9e80-22d8-11e9-853f-568f14bc1e78,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",7,7,5,4,2,2,5,5,5,5,2,5,5,Kortläsare,,Lagerhanteringverktyg,,,,,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Det brukar ta väldigt lång tid till att mina enheter kopplas till kortläsaren. Ibland blir det ganska pinsamt när man behöver starta om kortläsaren flera gånger.,Man borde kunna knappa in produkttypen genom en specifik kod (PLU) som man själv bestämmer på kortläsaren. Så man inte ens behöver använda appen.
2019-04-29 17:42:34 UTC,2019-04-29 17:46:15 UTC,completed,ios,Safari 12.0,e8a50f70-4bb7-11e8-b014-76ccec9fa510,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Online-annonser,8,9,5,3,5,5,5,NA,4,3,4,5,5,Kortläsare,,,Företagsfinansiering,,,,,,Faktura,,"Jag tycker ibland att det är en smula rörigt att hålla reda på vilken dag pengar är insatta på kontot när jag ska matcha med dagsrapporter. 
Det borde stå vilket datum insättningen avser
Med vänlig hälsning, Agneta",Se föregående fråga
2019-04-29 18:13:45 UTC,2019-04-29 18:17:50 UTC,completed,ios,Safari 12.1,81414a2c-23c7-11e9-b9f0-86b7cd0ea359,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Via internet (Google),10,10,5,5,5,5,5,5,5,5,5,5,5,Kortläsare,,,,,,,,,,,Mycket nöjd,Nei
2019-04-30 15:56:47 UTC,2019-04-30 16:02:16 UTC,completed,ios,Safari 12.1,9b54b210-4c94-11e8-bc01-df5765819298,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,5,7,5,2,5,5,5,NA,5,5,1,5,NA,Kortläsare,,,,,,,,,,,Avgiften är hög och det ta lång tid innan pengarna är på konto,Att när vi registrerar en faktura så kan ni skicka med posten inte bara via mejl tack
2019-04-30 18:25:13 UTC,2019-04-30 18:27:40 UTC,completed,ios,Safari 12.1,b0566334-24ac-11e9-9f83-3f0cbb439e93,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",8,9,3,2,5,4,5,5,3,4,1,3,4,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,Analyseringsverktyg,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Nop,Rapporter
2019-04-30 22:33:32 UTC,2019-04-30 22:38:43 UTC,completed,android,Chrome 67.0.3396.87,990190bc-24c7-11e9-973f-c47f9c7dac3f,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Sociala medier,9,9,5,NA,NA,5,4,5,5,5,5,4,5,Kortläsare,,,,,,,,,,,Nej,Nej
2019-05-01 11:38:02 UTC,2019-05-01 11:42:04 UTC,completed,ios,Safari 12.1,86fb2be0-4c81-11e8-adea-8966233299b2,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,10,10,5,5,3,5,5,NA,5,5,2,5,5,,,,Företagsfinansiering,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,Analyseringsverktyg,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Att ingå redovisning och deklarationer,Vet ej
2019-05-01 18:52:18 UTC,2019-05-01 18:55:55 UTC,completed,mac,Chrome 73.0.3683.103,894bfff6-2592-11e9-b588-fa8104052e88,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",10,10,5,5,5,5,5,5,5,5,2,5,5,Kortläsare,,Lagerhanteringverktyg,Företagsfinansiering,,Kassaregister/Kassatillbehör,,,,Faktura,,Att support saknas på helger.,.
2019-05-02 07:42:25 UTC,2019-05-02 07:49:01 UTC,completed,windows,Firefox 66.0,5b88b98c-255c-11e9-b5cf-e90848e03e58,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Genom rekommendationer från någon,5,8,2,3,5,4,4,4,3,5,2,3,2,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,,Kassaregister/Kassatillbehör,,,,Faktura,,"Ingen stöd för kassaregister till andriod, ett skämt att ni har arbetat på det i 6 år utan att komma någon vart! Att webbshopen enbart är tillgänglig på ett språk! Rapporter kan inte visas veckovis, bara per dag eller månad. Dålig support och instruktioner för import av produkter till systemet. Fick tillslut lägga in allt för hand trots kontakt med support som inte återkopplade.",Support för kassaregister till android. Support för fler språk i webbshoppen. Veckorapporter mm.
2019-05-02 15:38:31 UTC,2019-05-02 15:41:09 UTC,completed,ios,Safari 12.0,7f32d280-4dfa-11e8-a7ff-09cfc6ef4ed5,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,TV,9,10,NA,4,5,5,3,NA,NA,4,3,NA,1,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,,,Kassaregister/Kassatillbehör,Analyseringsverktyg,Bokföringsverktyg/Bokföringstjänst,Kundlojalitetsverktyg (CRM),Faktura,,Tydlig transaktionsrapport med automatik,Transaktionsrapport
2019-05-02 18:24:54 UTC,2019-05-02 18:27:43 UTC,completed,android,Chrome 67.0.3396.87,020f2324-262d-11e9-9fb1-f35f3c2b3cb3,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Online-annonser,8,8,5,4,4,5,4,5,4,4,5,4,4,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,Analyseringsverktyg,Bokföringsverktyg/Bokföringstjänst,Kundlojalitetsverktyg (CRM),Faktura,Inget av ovanstående alternativ,Nej,Nej
2019-05-03 03:50:46 UTC,2019-05-03 03:56:47 UTC,completed,ios,Chrome 73.0.3683.68,11ca67f4-2486-11e9-8d36-1cd662c163dd,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,På mässan,7,7,3,1,4,4,4,4,4,2,2,4,4,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,,,Kassaregister/Kassatillbehör,,Bokföringsverktyg/Bokföringstjänst,,Faktura,,"Hej
Allt funkar bra. Det enda negativa är att det tar lång tid tills msn får pengarna på kontot. Hos andra aktörer pengarna går direkt på kontot. Jag har missat 2 räkningar p.g.a att pengarna kom sent på mitt konto.
Annats allt funkar bra!👍",Ingen än så länge
2019-05-03 16:23:06 UTC,2019-05-03 16:30:58 UTC,completed,windows,Microsoft Edge 17.17134,a50f5620-4eab-11e8-9d2a-877a9cc049f8,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,8,10,4,5,4,4,3,NA,3,3,4,5,5,Kortläsare,Kassasystem/Point-of-sale system,,,,Kassaregister/Kassatillbehör,,,,Faktura,,inget,ni är bra
2019-05-03 18:05:49 UTC,2019-05-03 18:10:23 UTC,completed,android,Chrome 73.0.3683.90,e27fd610-4ea1-11e8-9e60-3ec9a78aa21a,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",10,10,4,4,4,4,NA,4,4,4,4,4,4,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,,,,Faktura,,Att jag inte kan använda android skärm o ha kassa lådan mot skatteverket i molnet,Kommer inte på
2019-05-04 14:00:08 UTC,2019-05-04 14:02:12 UTC,completed,android,Chrome 67.0.3396.87,5841d810-4a1c-11e8-86dc-8cab1bcb605b,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,8,9,5,5,5,5,5,NA,NA,NA,3,5,5,Kortläsare,,,Företagsfinansiering,,,,,,Faktura,,Inget,Inget
2019-05-04 18:18:28 UTC,2019-05-04 18:21:35 UTC,completed,ios,Chrome 74.0.3729.121,85981484-27af-11e9-a93f-15ac27e43bca,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Genom rekommendationer från någon,9,10,4,5,5,5,4,4,5,4,4,4,4,,,,,,,,,,,Inget av ovanstående alternativ,Vet ej,Inte något
2019-05-04 19:26:23 UTC,2019-05-04 19:31:08 UTC,completed,ios,Safari 12.1,f1471370-4f82-11e8-8314-4c52dfd04e94,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,8,8,4,4,2,4,5,NA,4,4,3,4,4,Kortläsare,Kassasystem/Point-of-sale system,,,,,,,,Faktura,,"Kortläsarna på våra båda caféer strular varje dag å tappar kontakten- väldigt irriterande och ibland tom går folk som ej har kontanter eller swish.
Också synd att man inte kan ha två fristående konton på samma organisationsnummer- massor av extraarbete för oss varje månad att gå igenom alla rapporter och särskilja de olika kostnadsställena för våra resp caféer då allt måste slås in i samma rapport varje dag.",Se tidigare svar
2019-05-05 05:15:42 UTC,2019-05-05 05:23:27 UTC,completed,ios,Safari 12.1,9339a0d0-2796-11e9-979c-92a357181c71,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Online-annonser,7,6,3,4,5,3,4,3,4,4,2,3,3,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,,Kassaregister/Kassatillbehör,,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Jag vill kunna få betalt genom mina bokningar på Acuity Scheduling. Om det var ett sett dem betalar när dem bokar en klass eller kurs direkt. Jag har en yoga & träning studio.,Online POS för bokningar av en gång eller kurser. Att man kunna skapa en kalender och ta emot bokningar för kunder och att dem skulle behöver betala direkt när dem boka.
2019-05-05 11:31:17 UTC,2019-05-05 11:33:39 UTC,completed,windows,Chrome 74.0.3729.131,51a38a0e-262f-11e9-a8d4-9f4abd41c082,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Genom rekommendationer från någon,10,10,NA,5,5,5,5,NA,5,NA,5,5,5,Kortläsare,Kassasystem/Point-of-sale system,,,,Kassaregister/Kassatillbehör,,,,Faktura,,NA,NA
2019-05-05 12:55:06 UTC,2019-05-05 12:56:55 UTC,completed,ios,Safari 12.1,613f025a-2561-11e9-ac55-af18d27151ca,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Sociala medier,10,10,5,5,5,5,5,5,5,5,5,5,5,Kortläsare,,,,,,,,,,,Inget,Inget
2019-05-06 06:22:31 UTC,2019-05-06 06:24:40 UTC,completed,windows,Chrome 74.0.3729.131,e57e2452-2876-11e9-895c-40118f39c032,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Har använt det tidigare,9,9,4,NA,5,5,5,NA,NA,NA,3,5,4,,,,,,,,,,,Inget av ovanstående alternativ,.,.
2019-05-06 07:26:19 UTC,2019-05-06 07:35:34 UTC,completed,ios,Safari 12.1,8711fb30-5092-11e8-a344-e8aaeb837f3e,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",8,10,5,2,5,5,5,NA,5,NA,1,NA,2,Kortläsare,,Lagerhanteringverktyg,,,Kassaregister/Kassatillbehör,,,,,,"Utbetalningstiden, önskar utbetalning på 1 dag","'-Avrundning till jämna kronor när man drar rabatt.
- kassarapporter fler detaljerade rapporter"
2019-05-07 10:16:27 UTC,2019-05-07 10:20:24 UTC,completed,ios,Safari 12.0,6f6de09e-2949-11e9-9945-e56a138bf0c1,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Genom rekommendationer från någon,7,7,5,2,5,5,5,5,5,NA,3,3,4,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,,,Kassaregister/Kassatillbehör,,,,Faktura,,"Jag tycker att ni kan vara onödigt långsamma på att betala ut pengarna, vilket innebär att jag i första hand ber kunder betala med swish.",Inget som jag ja tänka på
2019-05-08 05:37:58 UTC,2019-05-08 05:46:18 UTC,completed,ios,Safari 12.1,bd627220-5171-11e8-a99d-2f2a3a94e48d,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,TV,9,10,4,5,5,5,NA,NA,NA,NA,3,4,5,Kortläsare,,Lagerhanteringverktyg,Företagsfinansiering,,Kassaregister/Kassatillbehör,,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Kortläsaren är seg efter att den varit avstängd,.
2019-05-09 06:19:49 UTC,2019-05-09 06:23:44 UTC,completed,windows,Chrome 74.0.3729.131,52059430-52ac-11e8-a6ac-b724e5159595,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Via internet (Google),7,7,3,4,4,4,NA,NA,3,3,3,NA,2,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,,,Kassaregister/Kassatillbehör,,,,,,"Jag skulle vilja se mitt lagersaldo före, när jag fyllde på, hur snabbt jag har sålt av mitt saldo. Fler kolumner med info alltså.",att manuellt kunna slå in ett belopp i kortläsare. Om man har problem med viss internetuppkoppling.
2019-05-11 15:27:45 UTC,2019-05-11 15:32:33 UTC,completed,ios,Safari 12.1,02b22f00-54f6-11e8-a36f-c34f002718a6,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",7,8,4,1,3,4,4,4,2,4,2,3,4,,,,Företagsfinansiering,,,,,,,,0,Ingen
2019-05-11 18:20:41 UTC,2019-05-11 18:23:13 UTC,completed,ios,Safari 12.1,0ce65c28-2d48-11e9-8ef3-5a3d8f2fa27c,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Sociala medier,8,8,3,4,5,5,5,NA,3,NA,2,4,5,Kortläsare,,,,,,,,,Faktura,,Faktura tjänsten bör vara kopplad till inkasso service. Så slipper man gå till Klarna istället. Så utveckla gärna denna del,Nej
2019-05-12 13:23:33 UTC,2019-05-12 13:25:50 UTC,completed,android,Chrome 74.0.3729.136,77b973f0-548b-11e8-aba7-b2c4108a91d8,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,7,7,2,5,5,5,5,NA,4,4,3,4,5,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,,Kassaregister/Kassatillbehör,,,,Faktura,,Kassaregister till Android!,Mm
2019-05-12 18:09:06 UTC,2019-05-12 18:11:46 UTC,completed,ios,Safari 12.1,8124c690-5591-11e8-9277-ca7b06fc3f92,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,10,10,4,5,5,5,5,NA,5,5,3,NA,5,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,,,Kassaregister/Kassatillbehör,,,,Faktura,,Jag är nöjd,Saknar inger
2019-05-13 20:31:30 UTC,2019-05-13 20:34:08 UTC,completed,mac,Firefox 66.0,42e03590-551e-11e8-b77f-3e2fc895525e,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",10,10,5,5,5,5,5,NA,5,NA,5,5,5,Kortläsare,Kassasystem/Point-of-sale system,,,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,Analyseringsverktyg,,,,,Inte missnöjd alls!,Nej.
2019-05-14 15:27:14 UTC,2019-05-14 15:29:02 UTC,completed,android,Chrome 74.0.3729.136,6d07a890-57ac-11e8-9ef5-9cdc25799ddd,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Via internet (Google),8,10,3,5,5,4,3,1,5,3,1,1,5,Kortläsare,,,,,,,,,,,Bra,Bes
2019-05-14 16:50:34 UTC,2019-05-14 16:54:44 UTC,completed,ios,Safari 12.1,a23c8920-5795-11e8-9b82-8d9f1973e8a7,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,6,6,4,2,3,4,2,NA,3,NA,2,2,5,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,,Kassaregister/Kassatillbehör,Analyseringsverktyg,,,Faktura,,"Återbetalning till kunder, det tar för lång tid innan kunden får tillbaka sina pengar på ett återköp",Utskrivet kvitto
