Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Wie haben Sie von iZettle gehört?,"2. 2. Wie zufrieden sind Sie insgesamt mit iZettle, auf einer Skala von 1 bis 10?","3. 3. Wie wahrscheinlich ist es, dass Sie iZettle einem Freund oder Kollegen weiterempfehlen werden?","4.1. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: dem Kartenleser","4.2. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: unserer Kommunikation (z.B. betreffend neuer Funktionen, Tipps & Tricks, Updates)","4.3. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: unseren Transaktionsgebühren","4.4. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: dem Transaktionslimit pro Kartenzahlung","4.5. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: dem Quittungsversand an Ihre Kunden","4.6. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: der Annahme von Zahlungen","4.7. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: unseren Überweisungen","4.8. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: unserer Verkaufsübersicht, Excel / PDF Berichte","4.9. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: unserem Kundenservice","4.10. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: der Kompatabilität mit Zubehör (z.B. Drucker, Ständer, Scanner, etc.)","4.11. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: Ihrem Nutzerkonto auf my.iZettle.com","5. 5. Welche der folgenden Produkte, Services bzw. Lösungen für kleine Unternehmen bietet iZettle Ihres Wissens oder Ihrer Meinung an?",,,,,,,,,,,"6. 6. Wir suchen immer nach Wegen, unseren Dienst für unsere Kunden zu verbessern. Bitte teilen Sie uns mit, ob es
etwas gibt, mit dem Sie besonders unzufrieden sind:","7. 7. Wir suchen immer nach Wegen, unseren Dienst für unsere Kunden zu verbessern. Bitte teilen Sie uns mit, ob es eine Funktionalität gibt, die Ihnen bei unserem Dienst derzeit fehlt:"
2019-04-25 13:45:57 UTC,2019-04-25 13:50:12 UTC,completed,windows,Firefox 66.0,5a9697a0-4665-11e8-bd95-25e2e6b57788,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Jemand hat mir iZettle empfohlen,8,9,4,2,4,4,4,4,4,4,3,NA,5,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,Buchhaltungs-Tools,Tools zur Umsatzverfolgung und ‑auswertung,Rechnungsstellung,,Tools zur Bestandsverwaltung,,"Oft keine Verbindung mit WLan, Hotline ist niht wirklich erreichbar.",keie
2019-04-25 16:11:50 UTC,2019-04-25 16:15:18 UTC,completed,ios,Safari 12.0,dbbd6b10-48b3-11e8-9036-18e99bfca044,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internetsuche (Google),10,10,5,4,3,3,4,5,5,5,4,5,4,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,,Rechnungsstellung,Point-of-Sale-System,,,'---,'---
2019-04-25 18:58:22 UTC,2019-04-25 19:01:54 UTC,completed,ios,Safari 12.1,692fc8f8-20ea-11e9-9e48-0d4c24eaf4e3,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Eigeninitiative ,8,10,5,1,3,4,4,4,5,5,1,3,3,Software-Erweiterungen für Treueprogramme und CRM,,Geschäftsfinanzierung,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,Buchhaltungs-Tools,Tools zur Umsatzverfolgung und ‑auswertung,Rechnungsstellung,Point-of-Sale-System,Tools zur Bestandsverwaltung,,Die Betreuung durch ihren Kundenservice,Nein
2019-04-25 20:00:40 UTC,2019-04-25 20:05:07 UTC,completed,ios,Safari 12.1,7093c84c-1faa-11e9-81b6-134089a632a5,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,8,9,4,5,3,3,4,4,5,4,5,NA,4,,,,,Kartenleser,,Tools zur Umsatzverfolgung und ‑auswertung,,Point-of-Sale-System,,,"Es ist schade, dass nach kurzer Zeit das Kartenlesegerät defekt war! Austausch war jedoch superschnell !",K.A.
2019-04-25 20:10:00 UTC,2019-04-25 20:30:25 UTC,completed,ios,Safari 12.1,88f21598-20a3-11e9-9d22-133a573058bb,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,3,5,4,1,3,4,4,4,4,4,1,3,4,,,,,Kartenleser,,,,,,,"Ich hatte am 17.02.2018 mein Einzelunternehmen geschlossen und eine GmbH eröffnet. Der Service Berater mein das es genügt nur Konto und Firmen Namen zu ändern. Im Januar 2019 habe ich einen Kredit benötigt, da ist iZettle aufgefallen das ich immer noch als Einzelunternehmer geführt werde um wir die Firma komplett neu anlegen müssen somit waren meine Umsätze bis zu diesem Zeitpunkt nichts wärt , obwohl ich darauf hinweisen habe das ich ein Gmbh gegründet habe , somit habe ich ein Jahr verloren und den Kredit natürlich nicht bekommen.
I","Die Fehler zu korrigieren die Izettele gemacht hat , wie in meinem Fall,"
2019-04-26 02:12:14 UTC,2019-04-26 02:14:50 UTC,completed,android,Chrome 73.0.3683.90,646d14d4-20a3-11e9-aac1-82629312c343,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internetsuche (Google),10,10,5,5,5,5,5,5,5,5,5,5,5,,,,,,Buchhaltungs-Tools,,,,,,Alles in Ordnung,Kontaktloses bezahlen EC Karten
2019-04-26 08:54:47 UTC,2019-04-26 08:58:50 UTC,completed,windows,Chrome 73.0.3683.103,d112bbfe-20b5-11e9-9ae6-d2256b563be4,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internetsuche (Google),10,10,5,5,5,5,5,5,5,5,5,1,5,,,,,Kartenleser,Buchhaltungs-Tools,,Rechnungsstellung,Point-of-Sale-System,,,"Wir sind sehr unzufrieden mit der kompatibilität der Drucker. Es sind nur wenige Modelle welche sehr Kostenintensiv sind mit dem Gerät kompatibel, was für kleine Firmen wie unsere nicht möglich ist.
Es wäre wünschenswert Modelle ins Programm zu nehmen die nicht so Kostenintensiv sind",Keine
2019-04-26 12:31:35 UTC,2019-04-26 12:36:40 UTC,completed,windows,Chrome 73.0.3683.103,6e755590-20ad-11e9-b9c2-920356b83e5f,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,8,9,5,4,5,4,3,3,4,4,4,2,4,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,,,Point-of-Sale-System,,,Es sollte mehr Möglichkeiten für den Quittungsdruck geben um hier flexibler z.B. auf bereits vorhandenen Druckern sein zu können.,
2019-04-26 16:44:47 UTC,2019-04-26 16:48:58 UTC,completed,ios,Safari 12.1,06651250-4918-11e8-8637-98e3e7db3616,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Jemand hat mir iZettle empfohlen,8,8,4,4,3,4,NA,5,5,3,4,NA,4,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,Buchhaltungs-Tools,Tools zur Umsatzverfolgung und ‑auswertung,,,Tools zur Bestandsverwaltung,,"Nein, wenn ich einen Wunsch äußern dürfte, würde ich mir mehr Übersichtlichkeit bei der Bedienung der Monatsauswertung wünschen. Danke für eure Arbeit, ich bin sehr zufrieden",Nein
2019-04-26 20:49:35 UTC,2019-04-26 20:57:59 UTC,completed,ios,Safari 12.1,84a25790-493b-11e8-9344-7b2a8372c245,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internetsuche (Google),6,9,5,5,1,5,5,5,5,3,NA,5,5,,,Geschäftsfinanzierung,,Kartenleser,,,,Point-of-Sale-System,Tools zur Bestandsverwaltung,,Die Kosten für die Transaktionen sind zu hoch im Vergleich zu anderen konventionellen Zahlungsdiensten.,Eine Anbindung per EDI oder API/REST-API an Warenwirtschaftssystem
2019-04-27 15:35:35 UTC,2019-04-27 15:40:20 UTC,completed,windows,Chrome 74.0.3729.108,4866174c-206f-11e9-9a1b-2b5f99736413,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Online Werbung,10,10,5,5,5,5,5,5,4,5,4,4,5,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,Tools zur Umsatzverfolgung und ‑auswertung,Rechnungsstellung,,Tools zur Bestandsverwaltung,,"habe keine Verbesserungsvorschläge, bin sehr zufrieden",momentan keine
2019-04-28 09:23:44 UTC,2019-04-28 09:29:09 UTC,completed,ios,Safari 9.0,730cf3a6-2242-11e9-ab50-569badc47c29,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internetsuche (Google),10,10,4,5,3,5,5,5,5,4,5,NA,5,,,,,,,,,Point-of-Sale-System,,,Kontaktloses Zahlen funktioniert oft nicht.,Keine.
2019-04-28 10:08:37 UTC,2019-04-28 10:23:18 UTC,completed,mac,Safari 11.0.2,6361b460-47f4-11e8-8270-18a8f1adb418,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internetsuche (Google),8,9,4,NA,3,2,3,4,4,3,NA,NA,3,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,Tools zur Umsatzverfolgung und ‑auswertung,Rechnungsstellung,,,,"Ich würde Quittungen gerne auf meinem üblichen Drucker ausdrucken, der ohnehin in Betrieb ist.

Bei den Zahlungsspezifikationen wird automatisch eine MWSt. ausgewiesen, die aber bei meinen Rechnungen nicht immer relevant ist; es wäre gut, wenn man das abschalten könnte.",entfällt
2019-04-28 18:06:26 UTC,2019-04-28 18:17:53 UTC,completed,windows,Opera 60.0.3255.27,52692256-1fb7-11e9-9a47-ac0d4ce82324,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,8,10,4,4,3,4,5,5,4,2,1,4,1,,,Geschäftsfinanzierung,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,Tools zur Umsatzverfolgung und ‑auswertung,Rechnungsstellung,Point-of-Sale-System,Tools zur Bestandsverwaltung,,"dem Berichtswesen in iZettle, manchmal xls export manchmal xlsx
XLS - Berichte die nicht maschinell auswertbar sind wegen header und footer Zeilen (in Excel!!!) 

kein durchgängiges Datenmodell (Referenzen auf Kassen fehlen, Produkte werden in einer Zelle concatenated ! 

Produktmanagement: kein Import in Folderstruktur, Ergänzung um ein Freitextfeld wäre wünschenswert z.Bsp für die Speicherung einer Sachkontennummer

umständliche Anbindung an Netzwerkdrucker","sehr nützlich wäre die Integration einer ""Einkaufskasse, d.h. Handkasse"", aktuell ist das rudimentär via Barentnahme abbildbar - als separte Funktion wäre das deutlich handlicher. Besten Dank"
2019-04-29 06:33:20 UTC,2019-04-29 06:40:26 UTC,completed,android,Firefox 55.0,b5e109e0-43a1-11e8-9b0d-a7baba80353e,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internetsuche (Google),9,9,5,4,3,5,5,5,5,5,4,NA,5,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,Tools zur Umsatzverfolgung und ‑auswertung,,,,,Im möment nicht,Zur Zeit kein verbesserungsvorsclaege
2019-04-29 13:05:02 UTC,2019-04-29 13:09:04 UTC,completed,windows,Microsoft Edge 18.17763,ad0f8550-4935-11e8-8b35-8a534cc80861,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internetsuche (Google),9,10,4,3,4,NA,4,4,5,5,NA,NA,4,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,Tools zur Umsatzverfolgung und ‑auswertung,,Point-of-Sale-System,,,Keine gestaffelte Provision für hohe Summen,Kontaktloses Bezahlen mit EC (Ich habe aber noch nicht aktiv gesucht)
2019-04-29 17:26:15 UTC,2019-04-29 17:30:34 UTC,completed,ios,Safari 12.1,e3d19cde-2302-11e9-a2ce-b8efa9e56a61,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,10,10,5,5,3,5,5,5,5,3,5,3,5,,,Geschäftsfinanzierung,,,,,,,,,"Das man mit seinem Handy , seine Daten nicht ausdrucken kann.!!",Keine
2019-04-30 14:29:33 UTC,2019-04-30 14:36:09 UTC,completed,windows,Firefox 66.0,186ce354-23bc-11e9-aa25-f5b35ce94806,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,10,10,5,5,5,3,5,5,5,5,3,5,5,,,,,Kartenleser,,,,,,,"Anfangs konnte der Kartenleser sich nicht mit meinem Samsung Smartphone verbinden,erst nach einigen Wochen gelang es!
Seitdem bin ich sehr zufrieden!",keine Ahnung
2019-04-30 16:20:30 UTC,2019-04-30 16:25:38 UTC,completed,ios,Safari 12.1,c768c8c0-4c83-11e8-b2fd-e865ff9b83dd,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Jemand hat mir iZettle empfohlen,10,10,5,5,5,5,5,5,5,2,5,NA,4,,,Geschäftsfinanzierung,,Kartenleser,,,Rechnungsstellung,,,,"Wenn man Monatsende einen Bericht drücken möchte, muss man leider komplette Seite drücken anstatt nur die Einnahmen und Überweisungen. Ansonsten alles Top.",Keine
2019-04-30 20:02:33 UTC,2019-04-30 20:05:46 UTC,completed,windows,Firefox 66.0,d394fee0-4c72-11e8-95c6-7024957203e2,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Online Werbung,9,9,4,4,4,4,4,4,NA,NA,NA,NA,NA,,,,,Kartenleser,,,,,,,Alles ok.,Einzug über Kreditkarten nur mittels Kartendaten ohne Lesegerät.
2019-05-01 03:47:26 UTC,2019-05-01 03:51:20 UTC,completed,android,Chrome 74.0.3729.112,a8aed610-24ad-11e9-a930-2b4939533bdb,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,9,9,4,4,5,4,5,5,5,5,5,NA,5,,,,,Kartenleser,,,,,,,Bin zufrieden,Keine Verbesserung notwendig
2019-05-01 18:36:51 UTC,2019-05-01 18:40:40 UTC,completed,ios,Safari 12.1,c75356a4-252f-11e9-abc5-30b75efcc884,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,7,7,5,5,3,5,5,5,5,5,5,NA,5,,,Geschäftsfinanzierung,,Kartenleser,,,Rechnungsstellung,,,,Alles ok,Alles ok
2019-05-01 19:24:20 UTC,2019-05-01 19:27:57 UTC,completed,ios,Safari 12.1,d3baeca8-2535-11e9-912a-50a9270e599f,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,10,10,5,4,4,4,4,5,5,5,5,NA,5,,,,,Kartenleser,,,Rechnungsstellung,,,,Total zufriedem,Mir fällt es mir im Moment nicht
2019-05-01 21:08:38 UTC,2019-05-01 21:12:21 UTC,completed,android,Chrome 73.0.3683.90,f775fc80-4c66-11e8-8590-2d85f81ca158,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Jemand hat mir iZettle empfohlen,9,9,5,2,2,4,5,5,5,3,3,4,2,,,,,,,,,,,Keine der genannten,Nein,Nein
2019-05-02 11:11:06 UTC,2019-05-02 11:17:45 UTC,completed,ios,Safari 12.0,5bd33184-254c-11e9-97e3-1dafa3caf323,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Soziale Medien,8,10,5,3,4,5,5,5,5,3,5,5,5,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,Buchhaltungs-Tools,Tools zur Umsatzverfolgung und ‑auswertung,,,Tools zur Bestandsverwaltung,,Nein,Es wäre schön wenn der tatsächliche Kassenendbestand auf dem z- bon zu sehen wäre nach dem Schließen der Kasse. (zur Zeit nur der Bestand inkl. Ec Zahlungen)
2019-05-02 17:02:46 UTC,2019-05-02 17:05:59 UTC,completed,windows,Firefox 66.0,f215a1f0-4cac-11e8-9b2e-27700d2feffb,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Soziale Medien,9,10,5,3,4,NA,5,5,5,5,NA,NA,5,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,Tools zur Umsatzverfolgung und ‑auswertung,,Point-of-Sale-System,Tools zur Bestandsverwaltung,,bin mit nichts besonders unzufrieden ;),wüsste adhoc nichts
2019-05-03 04:43:04 UTC,2019-05-03 04:48:43 UTC,completed,windows,Firefox 66.0,ea8b72f2-263b-11e9-8be1-82293a93a173,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internetsuche (Google),9,10,5,3,3,NA,NA,5,5,NA,4,NA,4,,,,,Kartenleser,,,,,,,"Die Einfachheit und das keine festen Gebühren anfallen. Das war für mich entscheidend. So lange sich daran nichts ändert bin ich Ihr zufriedener Kunde, der garnicht mehr möchte.
Vielen Dank",nein
2019-05-03 18:25:10 UTC,2019-05-03 18:28:42 UTC,completed,android,Chrome 74.0.3729.112,44595364-2720-11e9-8484-55524ec2dd37,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Online Werbung,9,9,5,5,5,5,5,5,5,5,5,5,NA,,,Geschäftsfinanzierung,,Kartenleser,Buchhaltungs-Tools,,Rechnungsstellung,,,,Nichts,Nichts
2019-05-03 19:03:37 UTC,2019-05-03 19:07:32 UTC,completed,android,Chrome 74.0.3729.112,09640fb6-2724-11e9-bda8-3144f5dcea7b,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internetsuche (Google),9,9,4,4,4,4,4,4,4,4,4,4,4,,,,,Kartenleser,,,,,,Keine der genannten,Das der kartenleser nach einiger Zeit wieder im i zettle app angemeldet werden muss keine durchgehende Verbindung besteht,Das der kartenleser nach einiger Zeit wieder im i zettle app angemeldet werden muss
2019-05-04 10:29:02 UTC,2019-05-04 10:39:42 UTC,completed,windows,Firefox 66.0,5df0c9b8-26dc-11e9-b85d-47e35281a492,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internetsuche (Google),9,8,4,4,5,5,3,3,4,4,3,NA,4,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,Tools zur Umsatzverfolgung und ‑auswertung,,,,,"Bessere Beschreibung der erst Einrichtung.Am Anfang Probleme mit 
Verbindung vom Kartenleser zur App bei Samsung Handy.Einstellung im 
Handy musste geändert werden,dann funktionierte es.",Alles ok.
2019-05-04 19:19:33 UTC,2019-05-04 19:21:40 UTC,completed,android,Chrome 74.0.3729.112,9e16d1d4-278d-11e9-9c2d-0cb6633e6d31,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internetsuche (Google),10,10,4,5,3,NA,NA,5,5,4,NA,NA,NA,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,Buchhaltungs-Tools,,Rechnungsstellung,Point-of-Sale-System,,,Nichts,Nein
