Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. ¿Cómo conociste sobre iZettle?,"2. 2. En general, ¿cuál es tu grado de satisfacción con iZettle?",3. 3. ¿Qué tan probable es que recomiendes iZettle a tus amigos o colegas?,"4.1. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Atención al cliente","4.2. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Informes de ventas","4.3. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Importe total que puedes aceptar en cada pago con tarjeta","4.4. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Comisiones de pago","4.5. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Ofrecerles a tus clientes un recibo","4.6. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Lector de tarjetas","4.7. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Esfuerzo comunicativo (por ejemplo, sobre nuevas características o versiones de iZettle, consejos y trucos, actualizaciones de la cuenta)","4.8. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Depósitos","4.9. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Compatibilidad con accesorios (por ejemplo, impresoras, soportes, lectores de códigos de barras, etc.)","4.10. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Tu cuenta en my.izettle.com","4.11. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Aceptación de pagos","5. 5. Por lo que sabes, ¿cuáles de los siguientes productos, servicios o soluciones puede ofrecer iZettle a los pequeños negocios?",,,,,,,,,"6. 6. Siempre intentamos ampliar y mejorar el servicio que ofrecemos a nuestros clientes. Por favor, explica a continuación si hay algo que te disguste especialmente:","7. 7. Siempre intentamos ampliar y mejorar el servicio que ofrecemos a nuestros clientes. Por favor, explica a continuación si echas en falta alguna característica en nuestro servicio:"
2019-04-21 01:29:18 UTC,2019-04-21 01:34:12 UTC,completed,android,Chrome 73.0.3683.90,cd8824d0-44ae-11e8-a9d8-56bd6f0b6c0c,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,NA,NA,3,NA,4,NA,5,NA,5,5,,,,,,,Lector de tarjetas,,,No,No conozco los demás servicios
2019-04-21 21:21:13 UTC,2019-04-21 21:23:44 UTC,completed,ios,Safari 12.0,ee1d54f0-4575-11e8-b3d4-8adfe36f4d36,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicidad exterior,9,9,5,5,5,4,5,5,5,5,5,5,5,,Sistema de punto de venta,,,,,,,,Comisión alta en ventas,Servicio bueno
2019-04-22 14:20:33 UTC,2019-04-22 14:24:38 UTC,completed,ios,Safari 12.1,8071a8a6-1e6f-11e9-9c22-179eaff29137,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,9,9,4,4,5,4,5,5,5,5,4,4,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,"No me disgusta, solo como mejora el dinero debería de caer más temprano a las cuentas, así como una terminal normal... pero no es queja !",Todo bien hasta el momento
2019-04-22 14:23:22 UTC,2019-04-22 14:26:03 UTC,completed,windows,Microsoft Edge 17.17134,da49e88e-1e92-11e9-9954-6d29895b5b34,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Redes sociales,10,10,5,5,5,5,5,5,5,5,5,5,5,,,,,Herramientas para controlar y analizar las ventas,,,,,...,..
2019-04-22 15:13:42 UTC,2019-04-22 15:17:06 UTC,completed,android,Chrome 73.0.3683.90,311f671c-1df6-11e9-9ab0-8111b882944f,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Búsqueda en la web (Google),10,10,5,5,NA,5,5,5,5,5,5,5,5,,Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,,,Lector de tarjetas,,,Todo perfecto 👌,Ninguna
2019-04-22 16:05:51 UTC,2019-04-22 16:10:47 UTC,completed,windows,Chrome 73.0.3683.103,b07af578-1e8a-11e9-be29-69c73d9c2315,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,8,8,5,4,4,1,4,5,4,4,1,4,5,,,Programas de fidelización y de gestión de las relaciones con los clientes,,,,,Herramientas de contabilidad,,Considero que la comision es muy alta.,"Sin tomar en cuenta la alta comision, lo demas esta bien"
2019-04-22 17:32:19 UTC,2019-04-22 17:36:22 UTC,completed,android,Chrome 73.0.3683.90,9a0d6120-4656-11e8-a74a-a4b2ea77d247,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),10,10,5,2,5,3,3,3,5,5,3,3,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,,,,,,"En ocasiones, se complica la conexion bluetooth entre en celular o computadora y el lector de tarjetas.",Seria bueno que incluyera una pequeña impresora de recibos
2019-04-22 18:29:20 UTC,2019-04-22 18:32:47 UTC,completed,windows,Chrome 73.0.3683.103,449333d8-1b84-11e9-8e2a-c5160ee4ac3f,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,9,10,4,5,4,3,3,3,4,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,,,,,,,HASTA EL MOMENTO TODO BIEN GRACIAS,NO
2019-04-22 20:35:53 UTC,2019-04-22 20:37:52 UTC,completed,mac,Safari 12.0.3,43378580-4645-11e8-abfc-2d1fc48391dd,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,7,7,4,1,5,4,2,2,2,2,1,3,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,Lector de tarjetas,,,,
2019-04-23 00:57:01 UTC,2019-04-23 01:07:27 UTC,completed,windows,Microsoft Edge 17.17134,ce33b3c0-4582-11e8-ac1d-edfec4b065b8,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,en Cosco,10,10,5,NA,NA,4,5,5,5,5,5,5,5,,,,,,Herramientas de administración de personal,,Herramientas de contabilidad,,"menor porcentaje de cobro, aunque lo bueno cuesta.",de momento no
2019-04-23 13:13:39 UTC,2019-04-23 13:21:43 UTC,completed,android,Chrome 73.0.3683.90,80eac506-1f55-11e9-8e9e-8e458c151b5b,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,9,9,5,5,5,5,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,,Herramientas de administración de personal,Lector de tarjetas,,,"Al principio me disgustó que me puse en contacto con un tal Marcos, desafortunadamente no tengo su apellido, según esto él me ayudaría a darme de alta y a darme una introducción para el manejo del punto de venta, Jamás volvió a contactarme y lo peor es que cuando yo lo hacía, no respondía mis llamadas ni mensajes. Fue hasta 3 meses después de haber adquirido mi punto de venta que por fortuna cerca de mi negocio pasaron unos chicos promoviendo el punto de venta los que me ayudaron.",Realmente me parece muy completo.
2019-04-23 14:11:32 UTC,2019-04-23 14:14:36 UTC,completed,ios,Safari 12.1,f517892a-1ea9-11e9-84e2-08162a2e6360,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,9,9,5,NA,4,4,NA,5,NA,5,NA,5,5,,,,,,,Lector de tarjetas,,,El tener que renovar mi lector a tan corto plazo de haberlo comprado,No hace falta nada
2019-04-23 17:42:53 UTC,2019-04-23 17:45:22 UTC,completed,ios,Safari 12.0,d7155f90-44bd-11e8-a918-288225f67183,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,,,Lector de tarjetas,,,Todo me parece muy bien!,Ninguno hasta ahora
2019-04-23 17:52:31 UTC,2019-04-23 17:54:31 UTC,completed,android,Chrome 73.0.3683.90,342ec700-4740-11e8-a0ee-8966de244602,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,5,4,5,5,5,,,,,,,,,Ninguno de las anteriores,Por ahora todo bien,Ninguna
2019-04-23 18:12:17 UTC,2019-04-23 18:14:19 UTC,completed,windows,Firefox 66.0,79f37cd0-4692-11e8-86a0-0cea49b24c03,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,10,10,5,5,5,5,5,5,5,5,5,5,5,,,Programas de fidelización y de gestión de las relaciones con los clientes,,,,,,,Sin comentarios.,no
2019-04-23 19:36:43 UTC,2019-04-23 19:40:23 UTC,completed,android,Chrome 73.0.3683.90,0fcf5520-474d-11e8-9e97-b7133bb29c89,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,9,10,NA,4,4,3,5,5,4,NA,NA,4,5,,,,,,,Lector de tarjetas,,,N/A,N/A
2019-04-23 19:39:24 UTC,2019-04-23 19:42:35 UTC,completed,ios,Safari 12.1,54870850-470e-11e8-aa13-85f2935d2bcc,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,4,5,NA,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,No saber exactamente la comisión a MSI,No
2019-04-23 20:28:31 UTC,2019-04-23 20:32:55 UTC,completed,ios,Safari 12.1,826bcc10-4718-11e8-92b3-122b23060120,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,10,10,5,NA,1,2,NA,NA,1,5,NA,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,,,Me gustaría que me informaran sobre las mejoras que tiene la herramienta de punto de venta. Otra es que lanzaron una campaña sobre bajar la comisión y no bajo. Y por último las comisiones por meses sin intereses son altas.,Siente que he necesitado del servicio ha sido excelente el trato. Felicidades
2019-04-23 21:28:33 UTC,2019-04-23 21:30:31 UTC,completed,windows,Chrome 73.0.3683.103,2c1cc274-1ea4-11e9-b744-c09838d21b63,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,nada me disgusta,ninguna
2019-04-23 22:52:54 UTC,2019-04-23 22:55:29 UTC,completed,android,Chrome 73.0.3683.90,abd2f0c0-473f-11e8-be28-450883f831f0,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,10,10,5,5,5,3,5,5,5,5,5,5,5,,Sistema de punto de venta,,,,,,,,el sistema de mensualidades sin interes3s es un poco confuso para el cliente,punto de venta
2019-04-24 00:37:03 UTC,2019-04-24 00:40:16 UTC,completed,windows,Firefox 52.0,f33d3090-436d-11e8-80e4-55317e0cd368,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,9,5,5,5,3,4,4,5,5,NA,5,5,,,,,,,Lector de tarjetas,,,las comisiones,no
2019-04-24 01:24:03 UTC,2019-04-24 01:26:43 UTC,completed,windows,Chrome 71.0.3578.98,5a6c7c60-43de-11e8-9166-cc03d03a5fc9,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,9,9,5,5,5,5,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,,,ACTUALIZACIONES INECESARIAS O CON MUY POCO VENTAJA SOBRE LA ANTERIOR,CONFORME CON LA MISMA
2019-04-24 12:22:54 UTC,2019-04-24 12:26:47 UTC,completed,android,Chrome 73.0.3683.90,eb5878b0-45ae-11e8-a73f-eb3934ca702e,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,8,8,4,5,5,4,5,5,5,5,5,5,5,,,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,,,Pedí a la persona de ventas otro dispositivo y nunca llegó,"no, todo bien"
2019-04-24 12:30:31 UTC,2019-04-24 12:35:31 UTC,completed,ios,Safari 12.1,380eab00-4719-11e8-8d17-da58a4ae4783,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,10,10,5,5,5,4,4,4,3,5,3,5,NA,,,,,,,,,Ninguno de las anteriores,Mi lector no acepta pagos de tarjeta de despensa,No
2019-04-24 13:48:41 UTC,2019-04-24 13:54:37 UTC,completed,android,Chrome 73.0.3683.90,30b29922-2001-11e9-8e4f-e97e0e401cbf,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,8,9,3,4,5,4,2,5,4,5,3,5,5,,,,,,,Lector de tarjetas,,,Tardan en contestar un poco,J
2019-04-24 14:23:45 UTC,2019-04-24 14:26:36 UTC,completed,android,Chrome 73.0.3683.90,8d966564-202f-11e9-8f31-4f92956efaa9,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,9,9,5,5,5,1,5,3,2,5,5,5,5,,Sistema de punto de venta,,,Herramientas para controlar y analizar las ventas,,,,,Despues de una actualizscion del firmware del lector uno de los telefonos no se quiere conectar al lector,Un poco mas de ayuda sobre actualizaciinez
2019-04-24 16:10:21 UTC,2019-04-24 16:13:21 UTC,completed,ios,Safari 12.1,19a6afb0-4745-11e8-9cf6-ad43d6949d47,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,1,5,1,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,,,,,,,Nada,No por el momento
2019-04-24 16:15:26 UTC,2019-04-24 16:24:20 UTC,completed,ios,Safari 12.0,27a63f30-2021-11e9-b759-a03ae6eb2192,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Redes sociales,10,10,5,5,5,3,5,5,5,5,3,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,,,Lector de tarjetas,,,"Las comisiones ya que otros lectores están ofreciendo comisiones más bajas por ejemplo unos ofrecen cobrar 3% , 2.9% y 2.5%  e igualmente depósito al día siguiente.","Las comisiones de 3.5% ya que otros lectores están ofreciendo comisiones más bajas por ejemplo unos ofrecen cobrar 3% , 2.9% y 2.5%  e igualmente depósito al día siguiente."
2019-04-24 16:30:07 UTC,2019-04-24 16:34:40 UTC,completed,windows,Chrome 73.0.3683.103,037d30b0-1fee-11e9-8e8e-8a6d7f03a2f6,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,"Cuando recién llegaron a México, pero fue hace tantos años que no me acuerdo.",10,10,5,4,5,2,5,5,4,5,NA,5,5,,,,,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,,,Por el momento nada.,Por el momento todo esta bien.
2019-04-24 17:26:28 UTC,2019-04-24 17:32:51 UTC,completed,windows,Internet Explorer 11.0,2515d550-480e-11e8-ad39-6af3fab15b0c,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,8,8,5,5,5,4,5,5,5,4,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,Lector de tarjetas,,,no hacen depositos los fines de semana,depositar en fines de semana
2019-04-24 17:54:08 UTC,2019-04-24 17:56:46 UTC,completed,android,Chrome 73.0.3683.90,729c1cb0-4766-11e8-8456-07cb81d57395,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,10,10,5,5,5,3,5,5,4,5,NA,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,,,,Lector de tarjetas,,,estoy a gusto con todo,no
2019-04-24 19:01:49 UTC,2019-04-24 19:03:48 UTC,completed,windows,Chrome 73.0.3683.103,d839d502-202e-11e9-bc8c-df0b7599644f,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,RADIO SHACK,10,10,5,5,5,5,5,5,5,5,5,5,5,,Sistema de punto de venta,,,,,,,,NADA,NO
2019-04-24 19:52:31 UTC,2019-04-24 19:55:13 UTC,completed,ios,Safari 12.0,5e08bd42-1f6c-11e9-a34b-19e713f2200a,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicidad exterior,10,10,4,4,2,2,4,5,4,5,4,4,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,Ninguno de las anteriores,Las comisiones a veces son altas,No
2019-04-24 19:55:16 UTC,2019-04-24 22:17:04 UTC,completed,windows,Firefox 66.0,0cb8787a-1ffc-11e9-8509-56c49098c0a5,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,8,10,3,5,5,4,5,4,4,5,2,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,,,Lector de tarjetas,,,"NO PUEDO TENER CON MI CLAVE INTERBANCARIA VARIAS SUCURSALES ,CON  DISTINTOS NOMBRES.",NO
2019-04-24 20:10:47 UTC,2019-04-24 20:13:16 UTC,completed,ios,Safari 12.1,a65cafb0-47f2-11e8-8a55-ebac9a3e73f9,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,10,10,5,4,5,3,5,5,5,5,4,5,5,,Sistema de punto de venta,,,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,,,No,No
