Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Hoe ben je in aanraking gekomen met iZettle?,2. 2. Hoe tevreden ben je over het algemeen met iZettle op een schaal van 1 tot 10?,3. 3. Hoe waarschijnlijk is het dat u iZettle zou aanbevelen aan een vriend of collega?,4.1. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Verkooprapportages,4.2. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Klantenondersteuning,4.3. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Stortingen,4.4. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Het totale bedrag die je per kaartbetaling kunt accepteren,4.5. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Accepteren van betalingen,"4.6. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Compatibiliteit met accessoires (b.v. met printers, houders, barcode scanners, etc.)",4.7. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Kaartlezer,4.8. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Het aanbieden van bonnen aan je klanten,4.9. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Je account op my.izettle.com,4.10. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Transactietoeslagen,"4.11. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Onze communicatie (over b.v. over nieuwe functies, tips, account updates, etc.)","5. 5. Van welke van de volgende producten, diensten of oplossingen weet je, of denk je, dat iZettle ze kan aanbieden aan kleine bedrijven?",,,,,,,,,,,6. 6. We zijn altijd op zoek naar manieren om te groeien en de service voor onze klanten te kunnen verbeteren. Geef alsjeblieft aan (en zo ja wat) of er specifiek iets is waar je ontevreden over bent: ,7. 7. We zijn altijd op zoek naar manieren om te groeien en de service voor onze klanten te kunnen verbeteren. Geef alsjeblieft aan (en zo ja wat) of je een bepaalde functie mist in onze dienst:
2019-04-21 20:08:39 UTC,2019-04-21 20:14:57 UTC,completed,android,Chrome 73.0.3683.90,006ca1f6-1d70-11e9-9f50-bcdaae760a67,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2, iZettle werd mij door iemand aanbevolen,9,9,5,NA,5,NA,5,NA,4,NA,4,4,4,,Tools voor boekhouding,,Tools voor inventarisbeheer,Kaartlezer,,,,,,,"Als je de pinreader aanzet en vervolgens even niet gebruikt omdat bijvoorbeeld je cash betaald krijgt, de reader dan slecht activeert. Dan moet je m eerst weet uit en aan doen. Niet handig of klantvriendelijk voor de gebruiker.",/
2019-04-21 20:32:43 UTC,2019-04-21 20:35:04 UTC,completed,ios,Safari 12.0,0fbd9ef4-1d74-11e9-b4fa-46d09c923562,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Social media,9,9,4,NA,4,4,4,NA,4,NA,NA,3,4,,Tools voor boekhouding,,,,,,,,,,Niets,Geen idee
2019-04-21 22:41:25 UTC,2019-04-21 22:43:55 UTC,completed,ios,Safari 12.1,d5f11eb0-1d52-11e9-99cc-59e303157a0f,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Social media,8,8,3,4,3,4,4,4,4,4,4,2,4,,,,Tools voor inventarisbeheer,Kaartlezer,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,Kosten per transactie,Niks
2019-04-22 15:37:07 UTC,2019-04-22 15:41:46 UTC,completed,android,Chrome 73.0.3683.90,4c0118c0-466d-11e8-803a-e96c2dc59424,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Social media,8,9,4,NA,5,5,5,2,5,2,5,3,4,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,Tools voor personeelsbeheer,Tools voor inventarisbeheer,Kaartlezer,Point-of-sale-systeem,Loyaliteits/CRM-add-on,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,"Ik zou de kaartlezer ook graag via een windowsomgeving willen kunnen gebruiken. Nu lukt het prima met IOS en Android, maar via pc of laptop met windows lukt dit niet. Ook niet via allerlei Android op windows programmas","Geen, of zie vorige antwoord"
2019-04-22 19:08:52 UTC,2019-04-22 19:12:43 UTC,completed,android,Chrome 73.0.3683.90,4495471c-1e41-11e9-81a6-d6149ac64c25,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2, iZettle werd mij door iemand aanbevolen,5,6,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,Geen van het bovengenoemde,,"Het moest vlotter werken, duurt te lang voor de transactie geslaagd is.",Werkt te langzaam
2019-04-22 19:26:01 UTC,2019-04-22 19:28:20 UTC,completed,android,Chrome 73.0.3683.90,2663e80c-1e82-11e9-9bd9-54b25e433b78,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Google,8,8,4,4,4,4,4,4,4,4,4,2,3,,,,,,,,,,Geen van het bovengenoemde,,Geen printertje voor de bon op apparaat,Geen printertje op apparaat
2019-04-22 19:33:16 UTC,2019-04-22 19:37:16 UTC,completed,ios,Safari 12.0,84b89f82-1d6b-11e9-a519-a1aa7f625f37,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2, Ik betaalde voor iets of zag iemand anders iets betalen met iZettle,7,7,5,NA,5,NA,5,5,5,4,5,3,NA,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,,,,,Loyaliteits/CRM-add-on,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,De naam van de betalende klant of factuurnummer bij de betaling. Dat zou het inboeken van betalingen een stuk makkelijker maken,Naam/factuurnummer bij betaling
2019-04-22 19:39:08 UTC,2019-04-22 19:41:02 UTC,completed,windows,Microsoft Edge 18.17763,6eed5464-1cbb-11e9-8bf3-e4a198d8aa9f,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Zoekmachine/zoekopdracht (Google),10,10,5,5,5,5,5,5,5,NA,NA,5,5,Tools om verkopen te volgen en te analyseren,,,,Kaartlezer,,,,,,,geen,geen
2019-04-23 05:50:01 UTC,2019-04-23 05:53:40 UTC,completed,ios,Safari 12.1,8abee9f0-1e5a-11e9-9b52-b165907abb60,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Zoekmachine/zoekopdracht (Google),8,8,4,4,4,4,4,2,4,2,3,3,4,,,,,Kaartlezer,,,,,,,Printer is aan de dure kant,Geen
2019-04-23 05:59:21 UTC,2019-04-23 06:04:02 UTC,completed,windows,Internet Explorer 11.0,69716860-44a6-11e8-ae29-4ab8b9bb45b9,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,10,10,5,NA,5,5,5,NA,5,NA,5,3,5,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,,,Kaartlezer,,,, Zakelijke financiering,,,kosten percentage per transactie?,geen
2019-04-23 15:41:07 UTC,2019-04-23 15:43:11 UTC,completed,ios,Safari 12.1,9e5a98c0-46e6-11e8-ae73-06a12e214874,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, Televisie,8,8,4,4,4,4,4,NA,4,NA,4,3,4,,Tools voor boekhouding,,,Kaartlezer,,,,,,,Nog niets,Nog niets
2019-04-23 17:07:14 UTC,2019-04-23 17:09:13 UTC,completed,windows,Chrome 73.0.3683.103,207230dc-1d8f-11e9-b3e0-d33b1eca4e9d,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Zoekmachine/zoekopdracht (Google),7,7,3,3,4,3,3,3,3,3,4,3,3,,,,,,,,,,Geen van het bovengenoemde,,Graag een mogelijkheid om een factuurnummer als omschrijving mee te geven.,Graag een mogelijkheid om een factuurnummer als omschrijving mee te geven.
2019-04-23 17:41:59 UTC,2019-04-23 17:49:26 UTC,completed,windows,Chrome 73.0.3683.103,c1d54460-46e3-11e8-8f1a-e598ee5677de,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Zoekmachine/zoekopdracht (Google),3,2,4,1,4,4,4,NA,4,4,1,4,3,,,,,,,,,,Geen van het bovengenoemde,,"de communicatie is ver beneden peil

Ivm overlijden accounthouder geprobeerd wijzigingen door te voeren, maar het lijkt of er een doofstomme achter de pc zit bij izetle want zelfs na 3x vragen en alles opsturen gebeurt er nog minder dan niets

als je dan telefonisch contact zoekt staat er niets in het systeem???????

Jullie zijn lekker op weg, ik ook (naar een andere aanbieder!)",antwoord geven en actie ondernemen en geen klantgegevens zoekmaken
2019-04-23 18:21:10 UTC,2019-04-23 18:24:50 UTC,completed,windows,Chrome 73.0.3683.103,16ebe24a-1eea-11e9-8777-66f4aa24be59,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Online advertenties,10,10,5,3,5,5,5,NA,4,NA,5,4,4,,Tools voor boekhouding,,Tools voor inventarisbeheer,Kaartlezer,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,"Soms valt verbinding weg tussen kaartlezer en telefoon, op een moment dat je dat niet wilt. Weet niet of dat aan de kaartlezer, mijn telefoon of de internetconnectie ligt.",'-
2019-04-23 19:22:51 UTC,2019-04-23 19:27:10 UTC,completed,windows,Firefox 66.0,363aac32-1eed-11e9-a3f9-2ddf1b338b3f,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Zoekmachine/zoekopdracht (Google),9,9,4,NA,4,5,5,NA,3,NA,5,4,NA,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,,,Kaartlezer,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,"Ik ben erg tevreden sinds ik dit product nu 3 maanden gebruik. Echter stond ik laatst  op een markt toen ik het apparaat opstartte toen bleek dat het geen verbinding wilde maken met de kaartlezer. Oorzaak: er vond een update plaats. Hierdoor liep ik bijna de order mis, doordat de klant geen tijd had om te wachten. 
Ik zou het persoonlijk waarderen als de tip gegeven werd het apparaat tijdig op te starten ivm een mogelijke update of de datum van de update vooraf bekend te maken per mail.",niets tot nu toe
2019-04-23 20:24:49 UTC,2019-04-23 20:28:24 UTC,completed,mac,Safari 12.1,50019eb0-46f7-11e8-bd4e-9feea5b52c23,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,9,9,4,4,4,3,5,5,5,5,5,2,3,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,Tools voor personeelsbeheer,Tools voor inventarisbeheer,Kaartlezer,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)", Zakelijke financiering,,,Ik zou graag in een oog opslag mijn maandelijkse kaartbetalingen en toeslagen willen zien waar deze gelijk zijn opgeteld het totaal bedrag onderaan de streep bedoel ik dan.,weet niet
2019-04-24 15:19:09 UTC,2019-04-24 15:20:59 UTC,completed,windows,Chrome 66.0.3359.170,aeb11f80-4805-11e8-aa0a-36d5de24965c,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Zoekmachine/zoekopdracht (Google),10,10,5,5,5,5,5,NA,5,NA,NA,3,4,Tools om verkopen te volgen en te analyseren,,,,Kaartlezer,Point-of-sale-systeem,,,,,,Geen,Geen
2019-04-24 15:19:33 UTC,2019-04-24 15:25:03 UTC,completed,android,Chrome 73.0.3683.90,fd5022e0-47aa-11e8-b0ce-8a4bfc3e8759,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Zoekmachine/zoekopdracht (Google),8,7,5,4,5,5,5,NA,4,4,3,4,2,Tools om verkopen te volgen en te analyseren,,,Tools voor inventarisbeheer,Kaartlezer,Point-of-sale-systeem,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,Ik zou graag zien dat producten in de app makkelijker te zoeken zijn. Nu moet je eerst naar het zoek scherm en ik zou gewoon vanuit mijn producten overzicht willen zoeken zodat minder handelingen gedaan hoeven worden. Op die manier kan ik specifiekere producten toevoegen en kost het tijdens verkoop niet extra veel tijd en handelingen.,'-
2019-04-24 15:25:47 UTC,2019-04-24 15:27:46 UTC,completed,ios,Safari 12.0,1a39e4d0-478e-11e8-816f-b39feec7d776,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Zoekmachine/zoekopdracht (Google),9,8,5,3,3,4,4,4,4,4,4,1,4,,Tools voor boekhouding,,,Kaartlezer,,,,,,,Tevreden,Nee
2019-04-24 15:47:17 UTC,2019-04-24 15:50:10 UTC,completed,android,Chrome 67.0.3396.87,4afa07e0-4800-11e8-a48e-b86703b89477,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Social media,8,8,5,4,4,4,4,2,5,3,4,3,3,,,,,,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,Ontevreden is groot woord maar ik vind het jammer dat de printer zo onwijs duur is...,Niet eigenlijk
2019-04-24 15:57:56 UTC,2019-04-24 16:02:07 UTC,completed,ios,Safari 12.1,81aef9c0-47de-11e8-94bc-6bd610df169d,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,7,8,4,4,3,4,5,4,4,2,4,2,3,,,,,Kaartlezer,,,, Zakelijke financiering,,,De kosten,Ik mis niets
2019-04-24 19:12:38 UTC,2019-04-24 19:15:36 UTC,completed,ios,Safari 605.1,ec5fc042-1fc4-11e9-ada8-08f6cd2cbca1,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2, iZettle werd mij door iemand aanbevolen,9,9,5,5,4,5,5,4,5,4,4,4,4,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,,,,,,,,,,Niks prima apparaat,Ik mis niets
2019-04-24 21:15:09 UTC,2019-04-24 21:21:21 UTC,completed,windows,Chrome 73.0.3683.103,c8dbbae0-47bb-11e8-8f6e-d482333e2ee0,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,8,8,4,4,4,4,4,3,4,3,3,3,3,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,,,Kaartlezer,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)", Zakelijke financiering,,,.,.
2019-04-25 06:56:17 UTC,2019-04-25 06:58:51 UTC,completed,android,Chrome 67.0.3396.87,ecc3b500-47bd-11e8-9522-b3443f960c74,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,8,8,4,4,4,4,4,4,4,4,4,3,4,Tools om verkopen te volgen en te analyseren,,,,,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,Geen,Geen
2019-04-25 13:41:38 UTC,2019-04-25 13:43:55 UTC,completed,android,Chrome 67.0.3396.87,f5edb160-456c-11e8-b7ec-edc344af2e74,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,10,10,5,NA,3,NA,5,NA,3,4,5,3,5,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,,Tools voor inventarisbeheer,,Point-of-sale-systeem,,,,,,Ik ben een tevreden gebruiker,Geen
2019-04-25 15:31:56 UTC,2019-04-25 15:33:46 UTC,completed,chrome_os,Chrome 73.0.3683.114,8b08f240-486b-11e8-8b58-341fa73b7890,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, Ik betaalde voor iets of zag iemand anders iets betalen met iZettle,8,9,5,NA,5,NA,5,NA,5,NA,NA,4,NA,,,,,,,,,,Geen van het bovengenoemde,,tevreden,niets
2019-04-25 19:18:29 UTC,2019-04-25 19:24:39 UTC,completed,android,Chrome 67.0.3396.87,2eaed700-48b9-11e8-9a56-648c00e7df97,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,8,8,2,2,5,5,5,2,5,1,2,4,3,,,,,Kaartlezer,,,,,,,Ik wil nog beter leren om de bonnen kunnen printen of een dag overzicht  te zien maar weet niet precies hoe dat moet en kan,Pin overzichten in te zien
2019-04-25 19:36:23 UTC,2019-04-25 19:38:16 UTC,completed,android,Chrome 73.0.3683.90,e86f7c90-48ae-11e8-9fab-80f75177b611,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Zoekmachine/zoekopdracht (Google),9,6,5,5,5,5,5,5,4,5,5,5,5,,,,,,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,Niet,Geen
2019-04-26 06:09:50 UTC,2019-04-26 06:13:01 UTC,completed,windows,Chrome 73.0.3683.103,149eedf0-2095-11e9-8cff-ac2dc8f53ecc,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2, iZettle werd mij door iemand aanbevolen,8,8,NA,4,5,5,5,NA,5,NA,5,3,4,,,,,Kaartlezer,,,,,,,Gebruik iZettle alleen voor incasseren en dat werkt over het algemeen prima.,zie vorig
2019-04-26 09:31:09 UTC,2019-04-26 09:34:22 UTC,completed,windows,Chrome 74.0.3729.108,7c8c04c0-4710-11e8-a05b-db6cab6cd336,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Zoekmachine/zoekopdracht (Google),8,8,4,3,5,4,3,NA,5,5,4,3,3,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,,Tools voor inventarisbeheer,Kaartlezer,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,Met de kaartlezer kan er nog niet in het buitenland of met sommige buitenlandse betaalpassen betaald worden. Wij werken in Zuid-Limburg en krijgen regelmatig met Belgische of Duitse klanten te maken. Dan is dit zeer zeker een verbeterpunt.,"zie vorige, betalingen in het buitenland"
2019-04-26 19:07:38 UTC,2019-04-26 19:12:41 UTC,completed,android,Chrome 67.0.3396.87,7f2dc210-491b-11e8-acce-2089a67f5430,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Social media,8,8,4,4,3,5,5,5,5,5,5,2,4,,Tools voor boekhouding,,,,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,"Ben voor 80 procent tevreden over het gebruik van Izettle, vind alleen het bedrag per transactie echt te veel voor een ZZPer als ik. 
Erg jammer, maakt het minder aantrekkelijk",Vind het bedrag per transactie echt te veel voor een ZZPer als ik.
2019-04-26 20:00:10 UTC,2019-04-26 20:03:48 UTC,completed,android,Chrome 67.0.3396.87,fc0670a0-4972-11e8-909b-664a6011043b,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, Televisie,3,3,3,3,5,5,5,3,1,1,3,1,1,,,,,Kaartlezer,,,,,,,Hij doet het niet,Geen idee
2019-04-27 11:25:20 UTC,2019-04-27 11:28:17 UTC,completed,ios,Safari 12.1,817175b0-4909-11e8-a529-f65d057ea05d,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,9,9,5,5,5,4,5,NA,4,NA,4,3,4,,,,,,,,, Zakelijke financiering,,,Nvt,Nvt
2019-04-27 15:29:50 UTC,2019-04-27 15:32:03 UTC,completed,ios,Safari 12.1,dadb53b0-4a0c-11e8-b3fb-63e1eec52c86,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, Ik betaalde voor iets of zag iemand anders iets betalen met iZettle,9,9,5,4,3,3,3,3,3,3,3,1,3,,,,,Kaartlezer,,,,,,,Nvt,Nvt
