Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Hvor hørte du om iZettle?,"2. 2. Generelt, hvor fornøyd er du med iZettle, på en skala fra 1 til 10?",3. 3. Hvor sannsynlig er det at du vil anbefale iZettle til en venn eller kollega?,"4.1. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Kontoen din på my.iZettle.com","4.2. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Kortleseren","4.3. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Hvordan du kan ta betalt","4.4. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Totalbeløpet du kan godta per kortbetaling","4.5. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Innskuddsordningen","4.6. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Hvordan du kan tilby kundene kvittering
","4.7. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Transaksjonsgebyrene","4.8. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Kommunikasjonen (f.eks. meldinger om nye versjoner, tips og triks, Kontooppdateringer)","4.9. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Kompatibiliteten med tilbehør (f.eks. skrivere, stativer, strekkodeskannere osv.)","4.10. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Kundestøtten","4.11. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Salgsrapportene","5. 5. Hvilke av følgende produkter, tjenester eller løsninger kjenner du til at, eller tror du at iZettle kan tilby små bedrifter?",,,,,,,,,,,6. 6. Vi søker alltid å øke og forbedre servicen vi yter overfor kundene våre. Forklar nedenfor hvis det er noe du er spesielt misfornøyd med:,7. 7. Vi søker alltid å øke og forbedre servicen vi yter overfor kundene våre. Forklar nedenfor hvis det er noe funksjonalitet i tjenesten vår du savner i dag:
2019-04-25 05:36:09 UTC,2019-04-25 05:42:16 UTC,completed,windows,Microsoft Edge 17.17134,b9a39230-47a9-11e8-a6b4-2b3eca7b9e4e,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Noen anbefalte meg iZettle,8,8,5,5,5,5,5,5,4,4,4,4,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)",,,,,,,,,,,Er godt fornøyd med service og respons når vi trenger svar.,Produkter å måten det håndteres på er ikke godt nok. Vi har behov for 1 vare nr med mulighet for å legge flere under vare nr under dette vare nr. I dag har vi behov for opp til 10 under vare nr . Dette fungert meget bra tidligere men nå er det bare 3 varianter som kan legges opp.
2019-04-26 19:53:30 UTC,2019-04-26 20:00:29 UTC,completed,ios,Safari 12.1,6018714c-217c-11e9-b1e2-15d59a41c417,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Sosiale medier,9,10,5,4,5,5,NA,5,4,4,NA,4,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,,Fakturaprogram,Bokføringsverktøy,Kortleser,,Verktøy til å spore og analysere salget med,,"Izettle mister forbindelsen med telefonen ofte noen ganger per dag, og da er det litt dillete å få koble den til igjen","Dele opp en betaling i litt kontant og litt kort, og kunne la kunden ta ut penger i tillegg til kjøp"
2019-04-27 16:01:08 UTC,2019-04-27 16:02:50 UTC,completed,android,Chrome 73.0.3683.90,6410e1c0-4a05-11e8-8a85-701181f4c782,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Sosiale medier,7,8,4,4,5,5,5,5,3,4,3,3,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,,,,Kortleser,,Verktøy til å spore og analysere salget med,,"Rotete kvitteringer. Ved salg av enkeltvare, kommer varenavnet dobbelt opp.",Bedre kvitteringer.
2019-04-27 17:04:16 UTC,2019-04-27 17:09:58 UTC,completed,ios,Safari 12.1,c5dd9710-4a21-11e8-9da8-1267dd79eead,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internett-søk (Google),10,10,5,5,5,NA,5,5,3,5,5,5,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)",,,,,,Bokføringsverktøy,Kortleser,,,,Alt virker enkelt og gjennomtenkt,Savner ingenting
2019-04-27 18:43:07 UTC,2019-04-27 18:46:17 UTC,completed,windows,Chrome 73.0.3683.103,6d6916b0-478b-11e8-977d-8a940967836c,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Jeg betalte for noe med iZettle eller så noen andre gjøre det,9,9,4,5,5,NA,5,5,4,3,3,NA,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,Bedriftsfinansiering,,,Kortleser,,Verktøy til å spore og analysere salget med,,Er generelt fornøyd med iZettle,Ikke noe spesielt
2019-04-29 18:25:10 UTC,2019-04-29 18:28:16 UTC,completed,android,Chrome 74.0.3729.112,be0163f4-2401-11e9-9a85-cc33cffebf61,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Noen anbefalte meg iZettle,10,10,4,4,5,5,5,5,3,5,5,5,5,, Kassasystem,,,,Fakturaprogram,,Kortleser,,,,Ingenting,Kjempebra
2019-04-30 04:03:09 UTC,2019-04-30 04:06:13 UTC,completed,android,Chrome 67.0.3396.87,995c3f50-4b95-11e8-9455-b5946336dbac,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Noen anbefalte meg iZettle,9,9,5,5,5,4,4,4,4,4,4,4,4,, Kassasystem,,,,Fakturaprogram,,, Verktøy til styring av medarbeidere,,,Ikke noe spesielt,Ikke noe for min del
2019-04-30 06:57:22 UTC,2019-04-30 06:59:18 UTC,completed,mac,Chrome 73.0.3683.75,6db83f18-23ce-11e9-8361-4595c2aa23e5,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jeg betalte for noe med iZettle eller så noen andre gjøre det,10,10,NA,5,5,5,5,5,NA,NA,NA,NA,NA,, Kassasystem,,,,,,Kortleser,,,,'-,'-
2019-04-30 09:03:53 UTC,2019-04-30 09:08:17 UTC,completed,windows,Chrome 73.0.3683.103,26cbb230-49fc-11e8-916c-5ed35c6109dc,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internett-søk (Google),6,6,4,5,5,5,5,3,3,4,2,3,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,,,,Kortleser,,Verktøy til å spore og analysere salget med,,"Det kan være vanskelig å få support på telefon. Svenske kundebehandlere bør forstå norsk, og ikke be om at samtalen skal foregå på engelsk,",Det bør opplyses bedre og mer detaljert hvilke nettbrett/mobiler som er kompatible med skriverene. Har støtt på problem der.
2019-04-30 18:19:58 UTC,2019-04-30 18:26:29 UTC,completed,windows,Microsoft Edge 17.17134,6c79528c-24d6-11e9-ac35-4b6ea1e9c02b,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Nettannonser,8,9,5,4,5,4,5,4,3,4,4,4,3,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,,,,Kortleser,,,,"Ønsker at man kan dele opp beløpet, betale litt med kort og litt kontant","Ønsker at man kan dele opp beløpet, betale litt med kort og litt kontant. kvitteringene må skrives ut fortere"
2019-05-01 09:54:27 UTC,2019-05-01 09:56:57 UTC,completed,ios,Safari 12.1,e62186b0-4c58-11e8-b287-53eaee75e50c,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Noen anbefalte meg iZettle,9,9,4,5,5,4,4,5,4,4,4,4,4,, Kassasystem,Verktøy til styring av varebeholdning,,,,,Kortleser,,Verktøy til å spore og analysere salget med,,Ingenting,Ingen
2019-05-01 18:12:15 UTC,2019-05-01 18:15:02 UTC,completed,windows,Chrome 73.0.3683.103,9b193e5e-2562-11e9-b428-a25d98578d9d,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internett-søk (Google),9,9,NA,5,5,5,NA,NA,3,5,5,4,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,,Fakturaprogram,Bokføringsverktøy,Kortleser,,,,"Jeg er misfornøyd med at dette spørsmålet ber meg om å skrive ""hvis"" det er noe jeg er misfornøyd med, og så er det et obligatorisk spørsmål.","Igjen, dere forstår ikke ordet ""hvis"""
2019-05-01 20:05:15 UTC,2019-05-01 20:07:58 UTC,completed,ios,Safari 12.1,184820e0-4d76-11e8-a222-7f246f50231f,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Noen anbefalte meg iZettle,10,10,5,5,5,5,5,5,5,5,5,5,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,Tilbehør til lojalitet/CRM,,,,Kortleser,,Verktøy til å spore og analysere salget med,,Ingenting.,Ingenting.
2019-05-02 21:13:50 UTC,2019-05-02 21:24:46 UTC,completed,android,Chrome 73.0.3683.90,81d6d0c0-4df7-11e8-86e0-5b8164f0b347,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Noen anbefalte meg iZettle,6,6,4,4,5,4,1,4,4,2,3,4,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)",,,,,,,,,,,Veldig fornøyd med betalingsterminalen .,"Irriterende at når man må ta imot kontant betaling så kan ikke den ,registreres elektronisk slik som tidligere. Nå må man ha ekstra utstyrt med skriver , folk hiver jo bare kassalappen uansett  , dette er ikke akkurat miljøvennlig."
2019-05-03 07:32:51 UTC,2019-05-03 07:36:20 UTC,completed,mac,Chrome 72.0.3626.119,f65fa854-246b-11e9-a8dd-258fbc10e542,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jeg betalte for noe med iZettle eller så noen andre gjøre det,7,8,4,3,5,5,NA,4,3,4,NA,NA,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,,,,Kortleser,,Verktøy til å spore og analysere salget med,,Sliter av og til med å koble til kortleser til telefonen når eg skal ta betalt.,Har det meste eg har bruk for.
2019-05-03 15:33:42 UTC,2019-05-03 15:37:37 UTC,completed,ios,Safari 12.1,c8faed90-4f0c-11e8-8e43-c0a35eb78311,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Noen anbefalte meg iZettle,8,8,4,4,4,4,NA,4,3,NA,NA,NA,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,,Fakturaprogram,Bokføringsverktøy,Kortleser,,,,Ikke noe jeg er spesielt misfornøyd med.,Ingenting jeg savner
2019-05-04 16:04:23 UTC,2019-05-04 16:06:44 UTC,completed,ios,Safari 12.1,f374f320-4f86-11e8-9322-a6c262f2881d,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Noen anbefalte meg iZettle,6,6,4,5,5,5,5,5,1,4,4,4,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,,,,Kortleser,,,,Høye gebyrer,Nei
2019-05-04 19:26:28 UTC,2019-05-04 19:34:41 UTC,completed,android,Chrome 73.0.3683.90,119aa3a8-27e6-11e9-8385-6522baee7916,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Noen anbefalte meg iZettle,6,5,4,5,4,4,5,2,2,3,1,4,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,Tilbehør til lojalitet/CRM,Bedriftsfinansiering,,,Kortleser, Verktøy til styring av medarbeidere,Verktøy til å spore og analysere salget med,,"Nettbutikken er svært begrenset.
Skulle også vært mulig å legge til en seperat epost adresse der alle bestillinger blir sendt til og ikke bare til admin epost da vi f.eks ønsker at alle ordre automatisk printer ut.

Store problemer med kvitteringsskriveren som ikke vil koble seg til ipad (bluetooth) som også fører til problemer med skuffen siden den må åpnes manuelt.

Mangler sitte/ta med moms beregning i kassasystem som er påkrevd for alle spisesteder med mulighet for take away.

Skulle vært mulig med folder in folder (dvs mapper med flere mapper i hver mappe) i kassasystem.",Se forrige side
2019-05-05 16:24:54 UTC,2019-05-05 16:30:54 UTC,completed,windows,Microsoft Edge 18.17763,a312f76e-2466-11e9-84c7-03c49e5a1d36,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internett-søk (Google),9,9,5,5,5,4,4,4,3,NA,5,4,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,,,,Kortleser,,,,Jeg synes det er litt høye gebyrer.,Ikke som jeg kan komme på.
2019-05-05 17:28:42 UTC,2019-05-05 17:32:48 UTC,completed,windows,Firefox 66.0,4e2b58c0-4fa2-11e8-8f50-f207c018f1e2,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Noen anbefalte meg iZettle,8,9,5,5,5,5,5,5,3,1,4,4,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,Bedriftsfinansiering,,,Kortleser,,,,ok,faktura...veldig dårlig løsning.
2019-05-05 19:26:42 UTC,2019-05-05 19:30:38 UTC,completed,mac,Safari 12.1,cc982e12-2883-11e9-94be-9ae48a8c10f4,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Sosiale medier,9,9,5,5,5,5,5,5,3,4,5,5,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,Bedriftsfinansiering,Fakturaprogram,Bokføringsverktøy,Kortleser, Verktøy til styring av medarbeidere,,,Ingen ting,Ingen ting
2019-05-06 12:49:53 UTC,2019-05-06 12:55:26 UTC,completed,android,Chrome 67.0.3396.87,13c9938e-27da-11e9-89ba-38fc94293128,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internett-søk (Google),9,10,5,5,5,5,5,5,5,5,4,5,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,,,,,,,,Så langt var alt bra,
2019-05-06 18:53:31 UTC,2019-05-06 18:57:50 UTC,completed,android,Chrome 74.0.3729.136,8ca5a51c-2984-11e9-a118-dbcd76b4417a,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Noen anbefalte meg iZettle,5,7,4,4,4,3,5,3,1,3,1,3,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,Bedriftsfinansiering,Fakturaprogram,Bokføringsverktøy,Kortleser, Verktøy til styring av medarbeidere,Verktøy til å spore og analysere salget med,,"Samkobling mellom android og utstyr som skriver og kortleser.
Litt høyt transaksjonsgebyr.",.
2019-05-06 22:05:52 UTC,2019-05-06 22:10:41 UTC,completed,mac,Safari 12.0.3,10e731ce-2557-11e9-a474-58e57c1ccde8,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Noen anbefalte meg iZettle,9,10,5,5,5,5,5,5,4,5,5,5,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,,,,Kortleser,,,,Ingenting,"Jeg ønsker å kunne selge varer på nett med tilpassede tekstfelt kunden må skrive inn avhengig av hvilket produkt som kjøpes. På den måten vil jeg kunne hente skreddersydd kundeinformasjon i ulike sammenhenger, og ved salg av ulike produkter.

Jeg ønsker også å kunne selge en gruppe med varer, slik at en kunde kan kjøpe grupperte varer med ulik mva. F. eks. en helgepakke med overnatting, mat og aktiviteter."
2019-05-07 18:46:39 UTC,2019-05-07 18:51:11 UTC,completed,android,Chrome 73.0.3683.90,4589aeea-2a14-11e9-8901-eba2863391b0,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Noen anbefalte meg iZettle,9,9,5,5,5,4,4,5,3,5,5,5,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)",,,,,,,Kortleser,,,,Ingen ting egentlig,Funker for meg
2019-05-07 21:18:53 UTC,2019-05-07 21:23:42 UTC,completed,windows,Chrome 74.0.3729.131,2a41585a-2a54-11e9-b1ec-2860ac59ec28,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jeg kjente til dette systemet fra tidligere ,6,5,4,4,4,4,4,4,2,3,4,3,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,Tilbehør til lojalitet/CRM,,,,Kortleser, Verktøy til styring av medarbeidere,,,"Det eneste er at trans.gebyr er litt stive, kunne vært litt lavere. :(",Ikke noe spessielt
2019-05-09 15:19:56 UTC,2019-05-09 15:21:40 UTC,completed,ios,Chrome 74.0.3729.121,e9faa100-5391-11e8-9938-aa211ee4cebc,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Jeg betalte for noe med iZettle eller så noen andre gjøre det,5,2,5,5,5,4,4,5,1,3,3,3,5,,,,,,,,Kortleser,,,,Alt for høye transaksjonsgebyrer,Ingenting
2019-05-09 18:14:50 UTC,2019-05-09 18:16:46 UTC,completed,android,Chrome 74.0.3729.136,98e108fa-2b80-11e9-acf1-b227fb39337f,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jeg betalte for noe med iZettle eller så noen andre gjøre det,9,9,5,4,4,4,4,4,3,4,NA,3,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,Bedriftsfinansiering,Fakturaprogram,Bokføringsverktøy,Kortleser, Verktøy til styring av medarbeidere,Verktøy til å spore og analysere salget med,,.,.
2019-05-10 18:14:31 UTC,2019-05-10 18:17:53 UTC,completed,ios,Safari 12.1,9b0f8614-2c85-11e9-8808-5245cc3aaa62,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Noen anbefalte meg iZettle,10,9,5,5,5,5,5,5,4,3,NA,NA,NA,, Kassasystem,,,,Fakturaprogram,,Kortleser,,,,Jeg er fornøyd👍👍,Ingenting
2019-05-11 21:59:04 UTC,2019-05-11 22:03:11 UTC,completed,ios,Safari 12.1,7fbf2d3e-2d88-11e9-b642-22b94cbd5d2a,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internett-søk (Google),10,10,5,5,5,5,5,5,5,5,5,5,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,,Fakturaprogram,Bokføringsverktøy,Kortleser,,,,Har ingen ting jeg er misfornøyd med,Savner ingen ting
