Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Hur fick du reda på information om iZettle?,"2. 2. Hur nöjd är du i helhet med iZettle, på en skala 1 till 10?",3. 3. Hur sannolikt är det att du skulle rekommendera iZettle till en vän eller kollega?,"4.1. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Vår kommunikation (t.ex. om nya funktioner, tips och trick, kontouppdateringar)","4.2. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Utbetalningar","4.3. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kortläsare","4.4. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Att ta betalt","4.5. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Att erbjuda kunder kvitton","4.6. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kompatibilitet med tillbehör (t.ex. skrivare, ställ, streckkodsläsare osv.)

","4.7. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kundsupport","4.8. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Det totala beloppet du kan acceptera per kortbetalning","4.9. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Transaktionsavgifter","4.10. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Ditt konto på my.izettle.com","4.11. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Försäljningsrapporter",5. 5. Vilka av följande produkter/tjänster/lösningar tror eller vet du att iZettle kan erbjuda småföretag?,,,,,,,,,,,6. 6. Vi vill alltid utvecklas och förbättra tjänsten för våra kunder. Ange nedan om det finns något du är missnöjd med:,7. 7. Vi vill alltid utvecklas och förbättra tjänsten för våra kunder. Ange nedan om det är någon funktion som du saknar idag:
2019-06-26 18:45:45 UTC,2019-06-26 18:48:12 UTC,completed,ios,Safari 9.0,df8d0820-7970-11e8-a86c-8de62fe48aad,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",9,9,4,5,5,5,5,5,5,5,5,5,5,Kortläsare,,,,,,,,,,,'-,'-
2019-07-02 16:55:35 UTC,2019-07-02 16:59:35 UTC,completed,ios,Safari 12.1.1,0c276f30-7e29-11e8-8987-2ed032c8d6df,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",10,10,4,5,5,4,5,4,4,5,2,5,3,Kortläsare,,,,,Kassaregister/Kassatillbehör,,,,,,.,Ingen
2019-07-04 06:19:36 UTC,2019-07-04 06:22:22 UTC,completed,ios,Chrome 75.0.3770.103,cf30f540-7eb6-11e8-ab60-529db72396e7,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Genom rekommendationer från någon,7,10,3,5,3,5,5,5,3,5,3,5,5,Kortläsare,,,,,Kassaregister/Kassatillbehör,,,,,,Batteriet på min iZettle är dålig bara efter 1år . 🙁,Vet inte
2019-07-14 08:31:35 UTC,2019-07-14 08:37:35 UTC,completed,ios,Safari 12.0,43c6a3e0-8674-11e8-b2d9-9d6e6a6dfb64,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Genom rekommendationer från någon,8,9,4,5,4,4,4,4,4,4,4,4,4,Kortläsare,,,Företagsfinansiering,,Kassaregister/Kassatillbehör,Analyseringsverktyg,Bokföringsverktyg/Bokföringstjänst,,,,Är nöjd med allt,Saknar inget
2019-07-19 18:36:09 UTC,2019-07-19 18:38:02 UTC,completed,android,Chrome 75.0.3770.143,3d7d5b70-8b45-11e8-96fe-225309017665,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Via internet (Google),9,10,4,5,4,4,3,4,4,4,4,4,4,Kortläsare,Kassasystem/Point-of-sale system,,,,Kassaregister/Kassatillbehör,Analyseringsverktyg,,,,,Inget,Nej
2019-07-20 16:03:53 UTC,2019-07-20 16:07:33 UTC,completed,android,Chrome 75.0.3770.143,d1211250-8be4-11e8-b200-efd54ab15b50,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Genom rekommendationer från någon,9,9,4,4,5,5,4,NA,NA,NA,2,4,4,Kortläsare,,,,,,,,,,,Kunde vara billigare transaktioner,Vet ej
2019-07-24 22:17:22 UTC,2019-07-24 22:21:16 UTC,completed,android,Chrome 75.0.3770.143,bbfd75c0-8f3c-11e8-bb4d-7b010b81d92c,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",8,9,4,5,4,4,3,3,3,4,5,4,4,Kortläsare,,Lagerhanteringverktyg,,,Kassaregister/Kassatillbehör,,,,,,Kortläsare stänger av sig själv ganska snabbt.,Att kortläsare startar sig själv när man matar in en betalning.
2019-08-15 15:57:53 UTC,2019-08-15 16:01:17 UTC,completed,android,Chrome 76.0.3809.89,20ef5b80-a052-11e8-8de9-560445afd574,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Via internet (Google),10,10,5,5,5,5,1,2,5,5,1,5,5,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,Analyseringsverktyg,,,,,I äldre Android apparater syns inte bilderna på produkterna.,Inte direkt nu..
2019-08-23 16:04:39 UTC,2019-08-23 16:08:12 UTC,completed,ios,Safari 12.1.2,f7174ed0-a6c8-11e8-ab21-ba570fc1fe0a,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Via internet (Google),9,10,4,4,5,5,3,3,NA,NA,2,4,4,Kortläsare,,Lagerhanteringverktyg,,,Kassaregister/Kassatillbehör,,,,Faktura,,Kunde vara mindre transaktionsavgift vid betalning med debit.,Presentkort
2019-08-26 18:21:03 UTC,2019-08-26 18:23:53 UTC,completed,ios,Safari 605.1,580aa0d0-a966-11e8-b8cb-4fb5d3e78d84,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",8,10,5,5,5,5,1,NA,NA,5,3,5,5,Kortläsare,,Lagerhanteringverktyg,Företagsfinansiering,,Kassaregister/Kassatillbehör,Analyseringsverktyg,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Snyggare och enklare kvitton via izettle.com,Vet ej
2019-09-19 16:22:28 UTC,2019-09-19 16:33:09 UTC,completed,android,Chrome 76.0.3809.132,695f8cb0-bc08-11e8-8519-0ab16000baf2,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_SRV-FISv-Survey-Yearly-Check A,Genom rekommendationer från någon,10,10,4,5,5,5,5,5,5,5,5,5,5,Kortläsare,Kassasystem/Point-of-sale system,,,,,,,,,,"Fins inget, är mycket nöjd,men den första versionen svarta versionen borde man få byta ut mot senare modell för en skälig mellan skillnad typ 40 €","Språkkunskaperna Finland. Finnarna har svårigheter med svenska språket och vid telefonsamtal skall den finska damen återkomma men glömmer att säga vilken tid,datum,årtal"
