Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Mitä kautta tutustuit iZettleen?,2. 2. Miten tyytyväinen olet yleisesti iZettleen?,3. 3. Kuinka todennäköisesti suosittelisit iZettle ystävälle tai työtoverille?,"4.1. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Viestintä (esimerkiksi uusista iZettlen toiminnoista, vinkit & niksit, tilin päivitykset)",4.2. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Tilisi osoitteessa my.izettle.com,"4.3. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Yhteensopivuus lisävarusteiden kanssa (esimerkiksi tulostimet, telakat, viivakoodinlukijat jne.)",4.4. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Kuitin tarjoaminen asiakkaillesi,4.5. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Yksittäisten korttimaksujen maksukatto,"4.6. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Asiakaspalvelu
",4.7. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Maksujen vastaanottaminen,4.8. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Kortinlukija,4.9. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Myyntiraportit,4.10. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Tapahtumakulut,4.11. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Talletukset,"5. 5. Mitä seuraavista tuotteista, palveluista tai ratkaisuista tiedät iZettlen tarjoavan tai mitä seuraavista arvelet iZettlen voivan tarjota pienyrityksille?",,,,,,,,,,,,,,,,,,"6. 6. Pyrimme aina parantamaan palvelua ja kokemusta asiakkaillemme. Pyydämme teitä ystävällisesti kertomaan, mikäli: olette johonkin erityisen tyytymätön.","7. 7. Pyrimme aina parantamaan palvelua ja kokemusta asiakkaillemme. Pyydämme teitä ystävällisesti kertomaan, mikäli: kaipaat palveluumme joitain uusia toimintoja."
2019-04-22 18:36:56 UTC,2019-04-22 18:42:08 UTC,completed,android,Chrome 63.0.3239.111,655ae848-1e2e-11e9-8070-207a794b4ec9,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,8,8,4,4,4,4,4,5,5,5,5,5,4,,,,,,Yritysten rahoitus,,,,,,,,,,,,,Ei valittamista,"Kiitos ,nyt ei tule heti mieleen mitään!"
2019-04-23 04:33:34 UTC,2019-04-23 04:37:52 UTC,completed,android,Chrome 73.0.3683.90,716669a8-1d77-11e9-9ab8-646b0ad54ed4,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internethaulla (Google),8,8,4,4,4,4,4,4,4,4,4,4,4,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,,,,,,,,,,,,,,,Laite ok. Ja toimii hyvin.Provisio prosentti on teidän laitteessa melko korkea kilpailijaa nähden.,Kysymyksienne Suomen kieli kaipaisi korjausta
2019-04-23 11:59:47 UTC,2019-04-23 12:03:22 UTC,completed,windows,Chrome 73.0.3683.103,eda8d8c2-1e42-11e9-ba74-0cc67ec37fec,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,9,10,5,5,5,5,4,3,4,5,5,3,5,Myynnin seuranta- ja analysointityökalut,Kanta-asiakkuuksien hallinta / CRM-lisäosa,Kortinlukija,Varastonhallintatyökalut,Kassajärjestelmä,Yritysten rahoitus,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,Kirjanpitotyökalut,,,,,,,,,,"Muuten todella hyvä kassakokonaisuus, mutta myynnin kasvaessa käy kalliiksi. Siksi vaihtamassa toiseen palveluntarjoajaan. Myös verkkokaupan kehitysaste on huono, joten valitsemassa toisen alustan.",Verkkokaupan kehittäminen
2019-04-23 16:27:56 UTC,2019-04-23 16:31:45 UTC,completed,ios,Safari 12.1,526a66b0-470a-11e8-9c53-d79d73cb8fd7,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Sosiaalisen median,9,9,2,3,5,5,3,1,4,5,5,1,2,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,Varastonhallintatyökalut,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),Työntekijöiden hallintatyökalut,,,,,,,,,,,Asiakaspalvelun nopeuteen,En
2019-04-23 18:27:30 UTC,2019-04-23 18:30:56 UTC,completed,windows,Chrome 73.0.3683.103,11d0447c-1f0d-11e9-9942-485550ecf204,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,9,9,4,5,NA,4,3,4,4,4,4,4,4,,,Kortinlukija,Varastonhallintatyökalut,Kassajärjestelmä,,,,,,,,,,,,,,en ole mihinkään erityisen tyytymätön,en kaipaa ainakaan näillä näkymin
2019-04-24 04:57:36 UTC,2019-04-24 05:00:40 UTC,completed,windows,Chrome 73.0.3683.103,39a7bd1a-1f15-11e9-8cbd-322bd49d44a1,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,9,9,4,5,2,3,NA,4,5,5,5,3,NA,Myynnin seuranta- ja analysointityökalut,Kanta-asiakkuuksien hallinta / CRM-lisäosa,Kortinlukija,,Kassajärjestelmä,Yritysten rahoitus,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),Työntekijöiden hallintatyökalut,,,,,,,,,,,"Kuitin tulostuksen mahdollisuus firman omaan verkkotulostimeen olisi kiva, ettei tarvita dedikoitua kuittitulostinta.","kts. ed kohta,"
2019-04-24 07:39:55 UTC,2019-04-24 07:42:05 UTC,completed,mac,Firefox 66.0,be1286a6-1ecb-11e9-b9fd-9956a4843332,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internethaulla (Google),8,8,NA,4,NA,4,NA,NA,4,4,4,NA,4,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,Kaikki kunnossa.,Kuitin muotoiluun enemmän monipuolisuutta.
2019-04-25 08:52:48 UTC,2019-04-25 09:03:39 UTC,completed,android,Chrome 73.0.3683.90,3f5926a0-47b5-11e8-913e-98f9de7eb1bb,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internethaulla (Google),9,9,3,NA,NA,5,NA,NA,5,5,5,5,5,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,'-,",,"
2019-04-25 16:23:52 UTC,2019-04-25 16:25:17 UTC,completed,ios,Safari 12.0,d96d1fd0-486e-11e8-9fca-b6d953ef6a76,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Joku suositteli iZettleä minulle,10,10,NA,5,5,5,5,5,5,5,5,5,5,Myynnin seuranta- ja analysointityökalut,Kanta-asiakkuuksien hallinta / CRM-lisäosa,Kortinlukija,,Kassajärjestelmä,,,,,,,,,,,,,,'-,'-
2019-04-25 18:20:11 UTC,2019-04-25 18:24:45 UTC,completed,android,Chrome 73.0.3683.90,ae6a9aa0-4847-11e8-8eab-eafefa8d48ad,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Joku suositteli iZettleä minulle,9,9,3,5,4,5,5,4,5,5,5,5,5,,,Kortinlukija,,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,En ole tyytymätön. Käytän pienimuotoisesti kortinlukijaa ja on toiminut hyvin.,'-
2019-04-25 19:20:24 UTC,2019-04-25 19:24:57 UTC,completed,android,Chrome 72.0.3626.121,9690e456-209c-11e9-8db8-d2f1dcd99787,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Käytin tai näin jonkun käyttävän iZettleä maksamiseen,9,9,4,4,4,4,3,4,4,4,4,3,4,,,,,,,,,,Ei mitään näistä,,,,,,,,,En ole.,En kaipaa.
2019-04-26 16:29:05 UTC,2019-04-26 16:31:44 UTC,completed,ios,Safari 12.1,e6cd2ef8-21bd-11e9-9909-f90a194bed1a,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Käytin tai näin jonkun käyttävän iZettleä maksamiseen,9,10,4,4,5,4,4,4,5,5,5,5,5,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,,,,,,,,,,,,,,,En ole erityisen tyytymätön mihinkään,Mahdollisuus paperiseen kuittiin
2019-04-27 08:46:46 UTC,2019-04-27 08:49:26 UTC,completed,windows,Chrome 73.0.3683.103,8299c940-492e-11e8-8f90-4f016fba81c0,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Sosiaalisen median,9,9,4,5,NA,5,4,5,4,4,4,4,4,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,Olen tyytyväinen,en tällä hetkellä
2019-04-27 10:27:13 UTC,2019-04-27 10:35:25 UTC,completed,ios,Safari 10.0,618d4430-4941-11e8-9c42-c6caec6d5b43,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Joku suositteli iZettleä minulle,9,9,4,4,4,5,3,5,5,5,5,5,5,Myynnin seuranta- ja analysointityökalut,Kanta-asiakkuuksien hallinta / CRM-lisäosa,Kortinlukija,,Kassajärjestelmä,Yritysten rahoitus,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,Kirjanpitotyökalut,,,,,,,,,,Ei nut keksi mitä hetkellä,"Sorry, nut ei tule juuri mitä mieleen."
2019-04-28 07:59:42 UTC,2019-04-28 08:04:09 UTC,completed,windows,Microsoft Edge 17.17134,b01c0660-4953-11e8-8abd-ad99e99c8a3f,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Joku suositteli iZettleä minulle,9,10,4,5,NA,NA,5,5,5,5,NA,NA,NA,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,en ole. kaikki toimii vallan mainiosti.,en kaipaa.
2019-04-28 17:04:19 UTC,2019-04-28 17:12:24 UTC,completed,ios,Safari 12.1,67b70d32-232a-11e9-b5af-61661400c705,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internethaulla (Google),8,8,4,4,NA,4,NA,4,4,3,5,4,4,,,Kortinlukija,,,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,"Kortinlukijan akku ei kestänyt kuin yhden päivän, vaikka oli vain noin 11 maksutapahtumaa.","Jos asiakas ostaa alv 24% ja alv 14% tuotteita, niin kuittiin saa alvit vain, jos luo tuotteet tuotevalikoimaan. Muuten kuittiin saa vaan yhden alv%"
2019-04-28 19:56:46 UTC,2019-04-28 20:01:53 UTC,completed,android,Chrome 72.0.3626.121,582cb5d8-22df-11e9-a83f-ee843336fb1d,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,4,4,3,3,3,4,1,3,2,3,3,1,2,,,Kortinlukija,,Kassajärjestelmä,,,,,,,,,,,,,,Provision suuruuteen. Ei voi vastaanottaa isompia summia. Niihin teemme laskun mieluummin kuin käytämme  kortinlukiaa,Edullisemmat provisiot
2019-04-29 10:04:21 UTC,2019-04-29 10:08:07 UTC,completed,windows,Chrome 73.0.3683.103,bc062fe0-4b02-11e8-9fa2-098aa3de9940,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Sosiaalisen median,10,10,5,5,3,3,4,3,5,5,3,4,4,,,Kortinlukija,,,,,,,,,,,,,,,,"tyytymätön olen lähinnä omiin tietoihin mihin kaikkeen iZettleä pystyy käyttämään.
Taidan ruveta etsimään tietoja",en osaa sanoa ja viittaan nyt aikaisempaan vastaukseeni
2019-04-29 16:19:16 UTC,2019-04-29 16:30:00 UTC,completed,windows,Firefox 66.0,ceca24e0-4bb8-11e8-b371-bfe1cb98b295,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Joku suositteli iZettleä minulle,10,10,4,5,4,3,4,4,4,5,3,4,4,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,,,,,,,,,,,,,,,"En ole erityisen tyytymätön mihinkään, mutta raporttien tekstit ja numerot ovat niin pienellä, että huononäköisellä on niitä vaikea tulosteista lukea.","En osaa sanoa, tulosteiden teksti voisi olla isommalla, tulee paperille todella pienellä kun tulostaa, enkä ole saanut sitä muokattua isommaksi...ehkä vika on vaan minussa...Hyvää kesän alkua."
2019-04-30 06:03:42 UTC,2019-04-30 06:10:12 UTC,completed,ios,Safari 12.1,a58df738-23bb-11e9-bf7b-cf245e209cf2,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,9,10,2,5,NA,NA,NA,4,5,5,5,3,5,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,Varastonhallintatyökalut,Kassajärjestelmä,Yritysten rahoitus,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),Työntekijöiden hallintatyökalut,,,,,,,,,,,Uusista toiminnoista tiedottaminen.,EOS
2019-04-30 16:34:58 UTC,2019-04-30 16:36:51 UTC,completed,android,Chrome 73.0.3683.90,16baa810-2485-11e9-843f-9ad407053e10,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Sosiaalisen median,7,8,4,5,NA,4,4,NA,3,3,5,4,4,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,Uuden päivityksen myötä yhteysongelmat ovat helpottaneet,Olen tyytväinen toimintoihin
2019-05-01 08:39:53 UTC,2019-05-01 08:42:05 UTC,completed,android,Chrome 74.0.3729.112,2152067a-2268-11e9-9133-01614d39a19b,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Käytin tai näin jonkun käyttävän iZettleä maksamiseen,6,6,NA,4,NA,4,NA,3,3,2,3,3,5,,Kanta-asiakkuuksien hallinta / CRM-lisäosa,Kortinlukija,Varastonhallintatyökalut,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,Yhteys kännykän js kortin lukijan välillä on epävakaa,'-
2019-05-01 13:54:09 UTC,2019-05-01 13:58:26 UTC,completed,android,Chrome 67.0.3396.87,a27ae6b2-218d-11e9-8100-257da75fec11,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Verkkomainoksen,8,8,4,4,5,5,5,5,5,5,5,2,5,,,Kortinlukija,Varastonhallintatyökalut,Kassajärjestelmä,Yritysten rahoitus,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,Joskus kone ei hyväksy korttia vaikka tilillä katetta. Provisio voisi olla vähän pienempi,En tällähetkellä kaipaa
2019-05-01 16:26:09 UTC,2019-05-01 16:29:32 UTC,completed,android,Chrome 73.0.3683.90,9af5e7a0-4d41-11e8-ad34-b78e51ab4dfd,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Joku suositteli iZettleä minulle,7,7,3,4,3,4,4,4,1,4,4,3,3,,,Kortinlukija,,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,Kirjanpitotyökalut,,,,,,,,,,"Päivityksen jälkeen käyttöliittymä meni todella huonoksi. Itselläni tuote pysyy sinänsä samana, mutta hinta vaihtuu melkein joka kerta, joten nykyisellä tavalla tehtynä maksu on todella työläs",I
2019-05-01 20:02:10 UTC,2019-05-01 20:06:20 UTC,completed,android,Chrome 72.0.3626.121,630c8ab4-2564-11e9-a338-464e3098eb59,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,9,10,4,4,4,4,4,3,5,5,5,3,4,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,Varastonhallintatyökalut,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,"Asiakaspalvelu on ollut pariin otteeseen epäselvää, mutta siitä huolimatta kaikki on sujunut lopulta hyvin.",.
2019-05-02 07:52:34 UTC,2019-05-02 07:55:14 UTC,completed,ios,Safari 12.1,26722554-25a6-11e9-b4aa-7de18d95aaff,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,10,10,5,5,5,NA,NA,5,5,5,5,5,5,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,"Pidän laitteen helppokäyttöisyydestä, ohjelmoinnin yksinkertaisuudesta, mainiosta kortinlukijasta.",En osaa sanoa vielä.
2019-05-02 15:20:05 UTC,2019-05-02 15:23:10 UTC,completed,windows,Microsoft Edge 18.17763,5c2187b0-4be7-11e8-9ec8-66d3f94134a2,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Joku suositteli iZettleä minulle,8,8,4,4,4,3,NA,4,4,4,4,3,4,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,En ole.,En kaipaa tällä hetkellä uusia toimintoja.
2019-05-02 17:27:37 UTC,2019-05-02 17:30:44 UTC,completed,windows,Chrome 74.0.3729.131,8db13380-266a-11e9-9dce-a54667841067,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,9,10,4,5,3,4,3,3,4,4,4,4,4,,,Kortinlukija,,,,,,,,,,,,,,,,"Toivoisin, että maksajan nimi näkyy tiliotteessa. Se helpottaisi maksujen tarkistamista todella paljon.",'-
2019-05-03 04:10:17 UTC,2019-05-03 04:12:01 UTC,completed,windows,Chrome 73.0.3683.103,d8428110-4dd5-11e8-94d6-b014e4282006,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Joku suositteli iZettleä minulle,8,8,4,4,3,4,NA,4,5,4,4,4,4,,,,,Kassajärjestelmä,,,,,,,,,,,,,,'-,'-
