Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. How did you find out about iZettle?,"2. 2. Overall, how satisfied are you with iZettle, on a scale from 1 to 10?",3. 3. How likely is it that you would recommend iZettle to a friend or colleague?,"4.1. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Deposits","4.2. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: The total amount you can accept per card payment","4.3. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Communication efforts (e.g., about new features iZettle releases, tips & tricks, account updates)","4.4. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Your account on my.izettle.com","4.5. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Customer support","4.6. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Taking payments","4.7. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Compatibility with accessories (e.g., printers, stands, barcode scanners, etc.)","4.8. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Transaction fees","4.9. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Sales reports","4.10. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Card reader","4.11. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Offering your customers a receipt","5. 5. Which of the following products, services or solutions do you know or think that iZettle can offer small businesses?",,,,,,,,,,,6. 6. We are always looking to grow and improve the service for our customers. Please explain below if there is anything you are particularly dissatisfied with:,7. 7. We are always looking to grow and improve the service for our customers. Please explain below if there is any functionality in our service that you are missing today:
2019-04-11 15:33:13 UTC,2019-04-11 15:36:03 UTC,completed,ios,Safari 12.1,b21de8b0-3d51-11e8-85ae-6fa33b4bb7b4,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,I paid for something with iZettle or saw someone else do so,10,10,4,3,5,5,5,5,4,4,4,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,,Point-of-sale system,Tools to track and analyze sales,,,,,The amount of time it takes the money to transfer into my account - but it’s not a deal breaker,N/a
2019-04-11 15:34:48 UTC,2019-04-11 15:43:03 UTC,completed,windows,Chrome 73.0.3683.103,67d9cab0-3d4e-11e8-b6d8-81ea8ca9f3f1,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,8,8,2,5,5,5,5,5,5,5,5,5,5,,,,,Invoicing,,,,,,,payout deposits in less time,not
2019-04-11 18:59:19 UTC,2019-04-11 19:02:10 UTC,completed,android,Chrome 73.0.3683.90,83063560-3ca6-11e8-bdff-06bc6bd4481f,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,9,9,5,3,3,5,3,4,4,4,NA,5,3,,,,,,Point-of-sale system,,,,,,Nothing at present,No
2019-04-11 20:20:25 UTC,2019-04-11 20:21:48 UTC,completed,ios,Safari 12.1,892245e0-3dc0-11e8-bc1c-e243aeed728a,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Social media,9,10,5,5,5,5,5,5,5,5,5,5,2,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,,,,,,,,No,Receipts
2019-04-12 14:18:43 UTC,2019-04-12 14:20:59 UTC,completed,windows,Chrome 73.0.3683.103,9801d240-3d59-11e8-942b-e1898880d522,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,It was in place in the business already,10,10,5,5,5,5,NA,5,5,5,5,5,5,,,,,,,,,,,None of the above,nothing,no
2019-04-12 14:23:40 UTC,2019-04-12 14:25:28 UTC,completed,android,Chrome 59.0.3071.125,e4168400-3d7c-11e8-98fe-1b4dd90cecd4,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,NA,5,5,5,NA,,,,,,Point-of-sale system,,,,,,Nothing,Nothing
2019-04-12 15:25:35 UTC,2019-04-12 15:27:16 UTC,completed,ios,Safari 12.1,1a4e4a30-3e59-11e8-bf33-a4c7a0ea5415,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,5,5,NA,5,NA,5,NA,4,4,4,2,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,,,,,,,,N/A,N/A
2019-04-12 15:39:19 UTC,2019-04-12 15:46:08 UTC,completed,android,Chrome 67.0.3396.87,51a19bf0-3e58-11e8-aaa0-ffe388a78eff,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Internet search (Google),10,10,NA,5,4,5,5,5,NA,3,5,5,5,,,,,,,,,,Accounting tools,,"As a sole trader, izettle provides everything I need in current circumstances; this may change as my business evolves.",I'm happy with the service and don't currently have any suggestions for improvement.
2019-04-12 16:00:44 UTC,2019-04-12 16:03:37 UTC,completed,ios,Safari 12.0,10615150-3e4c-11e8-90e6-331f6e7cab6a,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,9,9,5,5,5,5,5,5,2,4,NA,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,,,,,,,,I’ve lost my card reader or someone stole it,I’ve had card reader stolen or lost 😩
2019-04-12 16:07:43 UTC,2019-04-12 16:11:32 UTC,completed,windows,Chrome 73.0.3683.103,104971d0-3e73-11e8-be9a-b36a8ea2f614,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Social media,10,10,NA,5,5,5,NA,5,5,5,2,5,5,,,,Card Reader,,,,,,,,Nothing. This is the best reader I have ever had. Battery life brilliant. Charges good. Love the SMS payment request. Brilliant,works well for me
2019-04-12 17:23:56 UTC,2019-04-12 17:27:33 UTC,completed,ios,Safari 12.1,79f5bb40-3e85-11e8-b907-afd95f820205,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,5,5,5,5,NA,5,NA,3,5,5,NA,,,,,,,,,,,None of the above,Satisfied,Happy
2019-04-13 04:14:17 UTC,2019-04-13 04:19:19 UTC,completed,android,Chrome 67.0.3396.87,1a65b3e0-3c16-11e8-9c39-63090a92f580,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,8,8,4,5,5,5,5,5,NA,3,5,5,4,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,Invoicing,Point-of-sale system,,Business financing,,Accounting tools,,The amount (1.75%) taken from every transaction. Could be less.,"Paper receipts are always asked for by customers, but i am satisfied with the card reader itself"
2019-04-13 15:35:16 UTC,2019-04-13 15:39:17 UTC,completed,ios,Safari 12.0,c61177a0-3f05-11e8-8975-782c7e69e750,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,9,10,5,5,5,5,5,5,NA,4,5,5,NA,,,,Card Reader,Invoicing,,,,Tools to manage inventory,Accounting tools,,Nothing at the moment,Nothing I can think of
2019-04-13 16:44:46 UTC,2019-04-13 19:39:40 UTC,completed,ios,Safari 12.1,caa4e070-3f1b-11e8-9783-6f6d783cfc53,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Internet search (Google),2,2,NA,NA,NA,NA,NA,5,1,1,1,3,1,,,,,,,,,,,None of the above,I need my employee to be able to see the transactions that I take. I was told to give him my password. Not a happy conversation.,My employee who does the bookkeeping needs to be able to see all payments.
2019-04-13 16:59:28 UTC,2019-04-13 17:06:27 UTC,completed,ios,Safari 12.1,3241c3f0-3f04-11e8-8459-f2e180e8ff79,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Social media,9,10,5,5,5,5,NA,4,NA,4,4,5,4,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,,,,,,,,I’d like to have an overall tally of a weekly / monthly income of receipts,Not sure how to text receipts or if I have this function.
2019-04-13 23:48:06 UTC,2019-04-13 23:52:53 UTC,completed,ios,Safari 12.1,85018060-3d7b-11e8-a219-278eff4710ce,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,4,5,NA,5,5,5,NA,5,5,5,5,,,,,Invoicing,,,,,,,Everything looks perfect,Non
2019-04-14 07:44:27 UTC,2019-04-14 07:47:51 UTC,completed,android,Chrome 67.0.3396.87,ccda34d0-3f0c-11e8-905f-0d49abc40d8a,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,None of the above,N/A,N/A
2019-04-14 15:59:12 UTC,2019-04-14 16:02:58 UTC,completed,android,Chrome 73.0.3683.90,8e9f1200-3fff-11e8-b42d-2927982fa365,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,9,9,3,4,4,5,NA,5,NA,3,5,5,5,, Loyalty/CRM add-on,,,,,,,,,,I'm rather satisfied. Would like to have a quicker deposit into my bank account.,None that I know of
2019-04-14 16:47:13 UTC,2019-04-14 16:49:10 UTC,completed,ios,Safari 11.0,0d3037e0-4008-11e8-8877-3dd8caf77617,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,8,10,4,4,4,4,4,5,4,4,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,Invoicing,,,,,,,All good,All good
2019-04-14 18:56:54 UTC,2019-04-14 19:01:02 UTC,completed,windows,Chrome 73.0.3683.103,d67583a0-3fbb-11e8-a947-f12edfd60919,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Internet search (Google),10,10,3,5,4,5,5,5,NA,5,NA,5,5,,,,Card Reader,Invoicing,,,,Tools to manage inventory,,,Would be great if you could make a portable cardreader with a built in receipt printer that can be used without the use of a smartphone.,N/A
2019-04-15 15:04:11 UTC,2019-04-15 15:06:28 UTC,completed,windows,Microsoft Edge 18.17763,3d866220-3f54-11e8-b5a2-41fad676a7c4,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Online ads,8,9,5,5,4,5,NA,5,NA,5,5,5,3,"Cash register add-on (for example receipt printer, barcode reader etc.)",,Employee management tools,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,,Tools to manage inventory,Accounting tools,,As a seasonal user I find the product very satisfactory for my needs right now,nothing yet
2019-04-15 15:30:09 UTC,2019-04-15 15:33:42 UTC,completed,ios,Safari 12.0,612b1490-40bd-11e8-9cdc-d106a3ed9533,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Internet search (Google),10,10,5,5,5,5,NA,5,NA,5,NA,5,5,,,,Card Reader,,,,,,,,Can't think of anything offhand that can make iZettle better than it is .,Nothing
2019-04-15 15:34:34 UTC,2019-04-15 15:52:58 UTC,completed,windows,Chrome 73.0.3683.103,a4c368e0-40dd-11e8-9016-8c2699762a6d,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Internet search (Google),9,9,4,4,3,4,3,5,5,3,4,5,5,,,,Card Reader,,Point-of-sale system,,,,,,"Generally nothing, but searching for products slows my sales process down. i initially tried using the tiles in the android app Products view but couldn't seem to reorder the tiles, or even sort them into alphabetical order so I gave up on that. Admittedly I haven't tried to use the system that way for months so it may have changed.","not that comes to mind. the system works, I take payments and you pass the money onto me. The time delay before receiving funds is acceptable and understandable (clearing from banks and card providers). Having to leave funds in the account to cover refunds on days where there have been few sales is annoying, but again understandable to cover yourself from losses if people go out of business. As in the case of the Cash Advance loans, perhaps once a customer has built up a history with you, you permit refunds over the retained funds value. For example I leave £400 in the account, enough to cover most goods yet some of my goods are valued at over £1000. If a customer wanted a refund for those, not only would I cry, but the customer would have to wait until I'd built up £1000 of credit in the account - which isn't good customer service - or I'd have to pay them through bank transfer and make a loss on the card fees from the initial sale. The instructions for handling refunds weren't very clear, so on my first refund (I may have had only 1 or 2), I had no money in the account so had to refund them in card rather than back onto the card. You have offered me a Cash Advance, so you must trust me to repay, so couldn't that same trust enable me to refund a transaction for an amount greater than the funds you retain?"
2019-04-15 15:45:36 UTC,2019-04-15 15:49:03 UTC,completed,android,Chrome 67.0.3396.87,07da7b20-408f-11e8-995a-6a16dbdb0a7f,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Internet search (Google),10,10,5,5,5,5,5,5,NA,5,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,,,,,,,,Take payments over the phone,Not at the moment
2019-04-15 17:47:14 UTC,2019-04-15 17:50:13 UTC,completed,windows,Chrome 73.0.3683.103,40be13a0-3ffb-11e8-a591-b7bdb2abe42e,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,8,9,4,5,5,5,NA,5,5,4,4,4,5,,,,Card Reader,Invoicing,,Tools to track and analyze sales,,,,,"Great product and system, Love the ease of use and clients use it quicklyas well. no problems except in a poor signal area",None that I need.
2019-04-16 14:56:17 UTC,2019-04-16 14:58:36 UTC,completed,ios,Safari 12.1,c2e0ece0-40e1-11e8-b340-6429e2b73504,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,5,5,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,,Point-of-sale system,,Business financing,,,,Think the iZettle accessories should be made more readily available such as like with the cash advance were you contribute each month to the cost it,No
2019-04-16 15:11:56 UTC,2019-04-16 15:15:37 UTC,completed,android,Chrome 73.0.3683.90,12c29680-4094-11e8-9dd1-2a200faf9683,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Social media,10,10,5,5,5,5,5,5,NA,5,5,5,NA,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,,,,,,Accounting tools,,None,None
2019-04-16 15:58:16 UTC,2019-04-16 16:00:01 UTC,completed,android,Chrome 73.0.3683.90,7f1085d0-41b7-11e8-9a53-a4c8dae24ac9,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Internet search (Google),8,8,NA,4,4,4,4,4,NA,3,4,4,NA,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,,,Accounting tools,,Na,Na
2019-04-16 16:26:58 UTC,2019-04-16 16:31:02 UTC,completed,ios,Safari 9.0,54bbe190-4148-11e8-b880-bf8ff7391f6b,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,5,NA,5,5,NA,5,5,3,NA,5,3,,,,,,,,,,Accounting tools,,"Receipts could be better designed, I don't like their layout",None that I can think of
2019-04-17 15:18:11 UTC,2019-04-17 19:01:52 UTC,completed,ios,Safari 12.0,b36932c0-4246-11e8-9a4f-f73f9f53034e,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,I paid for something with iZettle or saw someone else do so,10,10,5,5,5,5,5,5,4,5,5,5,5,,,,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,Business financing,,,,There is nothing i can think of . Love IZettle and never had any issues,Nothing to complain about
2019-04-17 15:33:10 UTC,2019-04-17 15:37:20 UTC,completed,ios,Safari 12.0,60181b70-4211-11e8-a923-a7269369080d,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,5,4,4,4,5,4,3,4,3,4,NA,,,,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,,,,,Don’t know,Don’t know
2019-04-18 05:51:37 UTC,2019-04-18 05:56:26 UTC,completed,android,Chrome 73.0.3683.90,7021cab0-4280-11e8-902b-1e09bfc715ca,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,9,9,5,NA,3,3,NA,5,NA,4,1,5,5,,,,Card Reader,,Point-of-sale system,,,,,,I only need to use it occasionally and am happy with the service. I have made sales that otherwise I would have lost.,None
2019-04-18 08:02:51 UTC,2019-04-18 08:16:25 UTC,completed,android,Chrome 73.0.3683.90,a8c98d10-4278-11e8-8842-0a54e7264987,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,5,5,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,,,,,,,,Every thing ok.customers no problem.,Customers always happy.
2019-04-18 15:15:25 UTC,2019-04-18 15:16:52 UTC,completed,windows,Chrome 73.0.3683.103,ed9d2520-4217-11e8-8723-0e1ae4d745f7,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,5,5,5,5,5,,,,Card Reader,,,,,,,,N/A,N/A
2019-04-18 15:18:05 UTC,2019-04-18 15:22:10 UTC,completed,android,Chrome 67.0.3396.87,983062a0-4307-11e8-8512-77ba0acc5006,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,9,9,5,4,4,4,4,5,NA,3,4,5,5,,,,Card Reader,Invoicing,,,,,,,Nothing,None
2019-04-18 15:22:59 UTC,2019-04-18 15:25:50 UTC,completed,ios,Safari 12.1,09ed8430-4322-11e8-a87e-cf92d278ab13,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,I paid for something with iZettle or saw someone else do so,9,9,4,5,4,4,4,4,4,3,4,4,3,,,,,,,,,,,None of the above,All ok,Nothing
2019-04-18 16:02:53 UTC,2019-04-18 16:06:21 UTC,completed,ios,Safari 12.0,50eb40e0-4311-11e8-8ea8-719306602fff,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internet search (Google),9,10,5,5,5,4,5,5,NA,5,3,5,4,,,,Card Reader,Invoicing,,Tools to track and analyze sales,,Tools to manage inventory,,,None,None
2019-04-18 16:07:11 UTC,2019-04-18 16:11:27 UTC,completed,android,Chrome 73.0.3683.90,3e7f6bd0-42fc-11e8-9229-50da41804d13,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internet search (Google),10,10,NA,5,NA,5,5,5,NA,5,5,5,NA,,,,,,,,,,Accounting tools,,Completely satisfied,None
2019-04-18 17:04:17 UTC,2019-04-18 17:10:00 UTC,completed,ios,Chrome 73.0.3683.68,e779ced0-4304-11e8-823e-0a29aaa75382,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,9,10,3,NA,NA,4,NA,4,NA,4,5,5,NA,,,,,,,,,,,None of the above,For all payments taken Thursday to Sunday I have to wait until the following Wednesday for cleared funds. This puts me off taking card payments. A payment taken on Thursday doesn't clear until 6 days later.,NO
2019-04-18 17:16:24 UTC,2019-04-18 17:19:15 UTC,completed,ios,Safari 12.1,5faae360-4311-11e8-a282-512f894bed5b,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,I paid for something with iZettle or saw someone else do so,4,3,NA,4,2,2,1,5,1,2,2,3,3,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,,Point-of-sale system,,,,,,Printer continually losing connectivity,T
2019-04-18 20:48:54 UTC,2019-04-18 20:51:29 UTC,completed,android,Chrome 73.0.3683.90,e1b991e0-4306-11e8-8484-1dbafd638210,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Online ads,9,10,4,4,4,5,NA,3,NA,4,NA,5,4,"Cash register add-on (for example receipt printer, barcode reader etc.)", Loyalty/CRM add-on,,,,,,,,,,Nothing,Nothing
2019-04-19 20:19:17 UTC,2019-04-19 20:23:28 UTC,completed,ios,Safari 12.1,d666e3b0-4397-11e8-b8d6-9d2b0b38e945,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,YouTube,10,10,5,5,5,5,5,5,5,5,5,5,5,,,,Card Reader,,,,,,,,No,No
2019-04-19 21:03:47 UTC,2019-04-19 21:06:52 UTC,completed,ios,Generic Browser 0.0,2d0fddce-1c10-11e9-9fe0-c8eb995f7645,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,NA,5,5,5,NA,,,,,,Point-of-sale system,,,,,,Thanks more advertising stickers to show we are taking card payments,Nothhing
2019-04-20 07:40:46 UTC,2019-04-20 07:48:46 UTC,completed,android,Chrome 67.0.3396.87,c78305a4-1c36-11e9-87fc-e815b529780e,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Social media,7,7,5,5,5,5,3,1,NA,4,5,1,4,,,,,,,,,,,None of the above,"the card reader is continually needing to reconnect to my smart phone , sending 6 digit codes to accept on the card reader. My customers are continually waiting .  I don't have this problem with the square card reader as it connects instantly",none
2019-04-20 07:41:21 UTC,2019-04-20 07:44:09 UTC,completed,android,Chrome 67.0.3396.87,9a321f4e-1be2-11e9-ad47-741f7d7184fb,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,NA,5,5,5,NA,,,,Card Reader,,,Tools to track and analyze sales,,,,,Nothing,Nothing
2019-04-20 15:32:55 UTC,2019-04-20 15:35:24 UTC,completed,ios,Safari 11.0,dce22300-44e4-11e8-abda-af2f601cf3a2,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,9,10,4,5,5,5,5,5,5,4,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,Employee management tools,,,,,Business financing,,,,Payments could be faster at entering account,Remove top button off reader
