Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Comment avez-vous entendu parler d'iZettle ?,"2. 2. Dans l'ensemble, quel est votre niveau de satisfaction vis-à-vis d'iZettle sur une échelle de 1 à 10 ?",3. 3. Quelle est la probabilité que vous recommandiez iZettle à un ami ou à un collègue ?,"4.1. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Des lecteurs de carte","4.2. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Aux frais de transaction","4.3. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Des rapports d'activité","4.4. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : À votre compte sur my.izettle.com","4.5. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Aux virements","4.6. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : D'accepter des paiements","4.7. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : À notre communication (par ex. à propos de nouvelles fonctionnalités, trucs & astuces, mises à jour)","4.8. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Des reçus pour vos clients","4.9. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Du service client","4.10. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : À la compatibilité avec les accessoires (par ex. imprimantes, supports, lecteur de code-barres, etc.)","5. 5. Parmi les produits, services ou solutions ci-dessous, lesquels, à votre avis, iZettle pourrait proposer aux petites entreprises ?",,,,,,,,,,,6. 6. Nous essayons constamment d'agrandir et d'améliorer nos services pour nos utilisateurs. Veuillez expliquer ci-dessous si il y a quelque chose en particulier dont vous n'êtes pas satisfait :,7. 7. Nous essayons constamment d'agrandir et d'améliorer nos services pour nos utilisateurs. Veuillez expliquer ci-dessous si il y a une fonctionnalité qui vous manque dans notre service aujourd'hui :
2019-04-21 08:33:16 UTC,2019-04-21 08:34:53 UTC,completed,ios,Safari 12.1,3e456cf0-44a5-11e8-9312-4723dbef8e93,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Quelqu'un m'a recommandé iZettle,10,10,5,5,5,5,5,5,5,5,5,5,,,,,,,Facturation,,,,,Rien,Aucune
2019-04-21 17:29:02 UTC,2019-04-21 17:35:41 UTC,completed,android,Chrome 67.0.3396.87,e786ffd0-4465-11e8-81a4-7cd0194ea1cf,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Quelqu'un m'a recommandé iZettle,10,10,4,5,5,5,5,5,5,5,5,4,,,,,,,,,,Aucune des réponses ci-dessus,,"Étant taxi en frontière belge, Yzette ne fonctionne pas en belgique alors que certains concurents peuvent le faire......A moi de voir si j ai pus de clients pour la Belgique....",Paiement en belgique indisponible...
2019-04-21 19:56:04 UTC,2019-04-21 20:04:59 UTC,completed,android,Chrome 63.0.3239.111,c2811bd8-1d24-11e9-ab8c-ccbed80377ed,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,9,10,5,4,4,5,5,5,5,5,5,5,,,,,,,,,Lecteur de carte,,,je suis satisfait pour le moment merci,pour l instant aucune.
2019-04-21 20:37:39 UTC,2019-04-21 20:40:38 UTC,completed,android,Chrome 73.0.3683.90,2427030a-1d7c-11e9-9cf6-2960ba1c5255,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,9,9,4,4,4,4,4,4,4,4,4,NA,,,,,,,Facturation,,Lecteur de carte,,,Rien,Rien
2019-04-22 07:59:22 UTC,2019-04-22 08:04:52 UTC,completed,android,Chrome 73.0.3683.90,067f9650-4582-11e8-8af1-77a3ee02daaf,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),8,10,5,2,4,4,3,NA,2,1,5,1,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,,,,,"Le delai a crediter sur mon compte est un peu long a la vue la rapidité que ce boitier permet.
De plus la compatibilité a une imprimante n'est pas facile",Non
2019-04-22 19:28:35 UTC,2019-04-22 19:34:45 UTC,completed,ios,Safari 12.1,53a1315c-1e56-11e9-b5d2-e399a7838426,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Réseaux sociaux,10,10,5,5,5,5,5,5,5,5,5,5,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,C’est super il faut continue comme ça et merci pour votre service cordialement Mohamed,Ils manque absolument rien c’est parfait
2019-04-22 20:12:40 UTC,2019-04-22 20:15:08 UTC,completed,android,Chrome 73.0.3683.90,fc563f80-1e75-11e9-8b02-2081fad48b26,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicité sur internet,8,9,4,5,4,4,4,4,4,4,4,4,,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,,,,Facturation,,,,,Ras,Ras
2019-04-22 21:01:57 UTC,2019-04-22 21:04:46 UTC,completed,windows,Chrome 73.0.3683.103,efe3bb78-1e53-11e9-a1e0-85ca407bc71a,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Réseaux sociaux,9,10,5,2,5,NA,5,3,4,5,5,NA,Outils de gestion des stocks,,,,,,,,,,,rs,gestion de stock
2019-04-23 08:42:09 UTC,2019-04-23 08:45:46 UTC,completed,android,Chrome 71.0.3578.99,987c9e80-1e63-11e9-b8b5-564c554f16f3,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),9,9,5,4,4,4,4,4,4,4,5,4,,,,Outils comptables,,,,,,,,"Bonjour.
Pour le moment tout va bien avec votre service. 
Merci 

Très cordialement, 
Luis",Tout va bien
2019-04-23 09:48:17 UTC,2019-04-23 09:51:29 UTC,completed,android,Chrome 73.0.3683.90,41ae9818-1da2-11e9-b35f-35d81da36384,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,10,10,5,5,5,5,5,5,5,5,5,5,Outils de gestion des stocks,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,,,,,Ras 🏆🏆,Ras
2019-04-23 10:20:41 UTC,2019-04-23 10:24:54 UTC,completed,mac,Safari 12.1,26a305f0-1e41-11e9-ac8b-64f0c03d137b,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Réseaux sociaux,7,8,4,3,4,4,4,3,4,1,3,NA,,,,,,,Facturation,Système de point de vente,,,,"manque cruel de la VAD qui m'empêche de résilier mon TPE bancaire
impossibilité de choisir les formats d'impressions",manque cruel de la VAD qui m'empêche de résilier mon TPE bancaire
2019-04-23 18:01:57 UTC,2019-04-23 18:06:52 UTC,completed,ios,Safari 12.1,9e11ac70-4734-11e8-8c86-0048753c8913,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),9,8,3,3,4,4,4,4,4,4,4,4,,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,,,,Facturation,,,,,Tenue de la batterie du lecteur faible,Ras
2019-04-23 18:59:30 UTC,2019-04-23 19:01:34 UTC,completed,ios,Safari 12.1,277918ba-1f28-11e9-bc41-af4e1ff40fb1,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Réseaux sociaux,10,10,5,2,5,5,5,5,5,5,NA,5,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,Outils comptables,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,,,,,Rien de particulier,Non
2019-04-23 19:00:37 UTC,2019-04-23 19:02:51 UTC,completed,ios,Safari 12.1,c8512f94-1ef5-11e9-ae5e-53303dba7f2f,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicité sur internet,10,10,5,3,5,5,5,5,5,4,5,NA,,Outils de suivi et d'analyse des ventes,,Outils comptables,,,Facturation,,Lecteur de carte,,,Je suis entièrement satisfaite,J’adore
2019-04-23 19:08:13 UTC,2019-04-23 19:11:32 UTC,completed,ios,Safari 12.1,0b07d6ae-1e28-11e9-b114-d5d7d423fb88,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,9,10,5,4,3,4,5,5,5,5,5,5,,,,,,,Facturation,,Lecteur de carte,,,Merci,Non
2019-04-23 19:19:45 UTC,2019-04-23 19:21:45 UTC,completed,ios,Safari 11.0,f84a97d6-1f3a-11e9-a5ca-674e2ec6f4aa,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,9,9,4,2,4,4,4,4,4,4,4,4,,,,,,,,,,Aucune des réponses ci-dessus,,Tout va bien,Non  tout va bien
2019-04-23 19:47:37 UTC,2019-04-23 19:52:18 UTC,completed,ios,Safari 12.1,9faa21d2-1f2b-11e9-9917-ee0ed033da4b,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Réseaux sociaux,10,10,5,4,4,5,5,5,5,5,4,NA,,,,,,,,,,Aucune des réponses ci-dessus,,Rien actuellement,Rien pour le moment
2019-04-23 19:59:25 UTC,2019-04-23 20:02:56 UTC,completed,android,Chrome 51.0.2704.106,f15e1dea-1ee4-11e9-83e4-b026fd67a6e1,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Télévision,7,8,5,3,3,4,3,3,3,2,3,3,Outils de gestion des stocks,,,Outils comptables,,,,,,,,aucun,auxun
2019-04-24 05:54:49 UTC,2019-04-24 06:07:57 UTC,completed,ios,Safari 10.0,c29b1fe0-1f1f-11e9-b50b-8f85714bd4cf,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),7,7,4,3,4,4,2,5,5,4,4,4,,,,,,,Facturation,,,,,Rapidité des virements,Facture
2019-04-24 10:53:24 UTC,2019-04-24 10:59:25 UTC,completed,ios,Safari 12.1,c336c476-1f3e-11e9-b27d-8e7cd2606efa,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicité sur internet,10,10,5,3,5,5,5,5,5,5,NA,NA,,,,,,,,,,Aucune des réponses ci-dessus,,"Tout va bien, sérieux et pratique. Je vous ai connu par paypal, c’est ce qui m’a donné confiance. Car j’ai un compte paypal depuis plus de 15 ans","Juste dommage que je ne puisse pas rajouter ma caisse espèce en une seule fois à la fin de ma foire ou de mon marché . Je vends bcp de petits articles à 1 ou 2 € et je n’ai pas le temps d’entrer chaque transactions une par une. J’aimerai pouvoir en fin de foire entrer un récapitulatif des espèces qui entreraient ainsi dans mon chiffre d’affaire de la journée. Comme ça en fin de mois, j’imprime et mon CA Est fait ."
2019-04-24 12:51:43 UTC,2019-04-24 12:53:14 UTC,completed,mac,Safari 12.0,d2db4092-1f42-11e9-b195-5be84b62de2c,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),10,10,5,2,5,4,5,4,3,4,NA,NA,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,est-il envisageable d'avoir un moyen d'accepter les paiements en ligne ?,
2019-04-24 15:21:45 UTC,2019-04-24 15:25:08 UTC,completed,mac,Firefox 66.0,309d7a90-479b-11e8-9676-8a619c9f4d07,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),7,7,3,2,4,4,4,4,4,4,4,NA,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,Outils comptables,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,simplifier la connexion au télephone,.
2019-04-24 16:15:03 UTC,2019-04-24 16:17:11 UTC,completed,android,Chrome 67.0.3396.87,002725c0-47ad-11e8-a430-070437472dc9,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),10,10,5,4,4,4,4,4,5,4,5,NA,,,,,,,,,Lecteur de carte,,,non,.
2019-04-24 16:35:01 UTC,2019-04-24 16:38:37 UTC,completed,ios,Safari 12.0,ed906d50-47dd-11e8-b500-b77747a3ba6d,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Quelqu'un m'a recommandé iZettle,9,10,5,4,3,4,4,5,4,5,NA,NA,,,,,,,,,Lecteur de carte,,,"Faire plus de pub à la télévision, car il y a des clients qui sont septique car ils ne connaissent et ont donc peur d’etre Piraté. Sinon tout est parfait rien a redire.",Rien a redire
2019-04-24 18:57:15 UTC,2019-04-24 19:00:23 UTC,completed,ios,Safari 12.1,729932cc-2021-11e9-ab24-53eaa04a216c,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Réseaux sociaux,10,10,4,1,5,5,NA,NA,4,4,5,NA,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,,Outils comptables,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,Rien en particulier,Non
2019-04-24 18:58:52 UTC,2019-04-24 19:01:49 UTC,completed,android,Chrome 73.0.3683.90,a70f7668-1fba-11e9-95b0-a64d4b6999c0,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicité sur internet,8,6,4,1,5,4,5,4,3,3,NA,NA,,,,,,,,,Lecteur de carte,,,...,...
2019-04-24 21:40:49 UTC,2019-04-24 21:43:48 UTC,completed,android,Chrome 73.0.3683.90,584ea450-47e2-11e8-985e-99b26a802c02,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicité sur internet,6,6,3,3,3,3,3,3,3,3,3,3,,,Fonction de gestion de la fidélisation / CRM,,,,,,Lecteur de carte,,,Pas de frais maintenance,Gestion des frais
2019-04-25 06:51:03 UTC,2019-04-25 06:56:12 UTC,completed,android,Chrome 73.0.3683.90,0bb4c230-47ad-11e8-ae07-f69500ae9582,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Télévision,10,10,5,5,5,5,5,5,5,5,5,5,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,,Outils comptables,Outils de gestion du personnel,,Facturation,,Lecteur de carte,,,Je ne sais pas répondre à cette question,Merci
2019-04-25 07:34:55 UTC,2019-04-25 07:38:17 UTC,completed,windows,Chrome 74.0.3729.108,aed6ef18-1f3b-11e9-9df5-fe19385312e8,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,10,10,5,5,5,5,5,5,5,NA,5,NA,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,,,,,,,,,,non rien pour le moment mais je n'ai pas encore essayé tous les produits,non
2019-04-25 08:56:13 UTC,2019-04-25 09:01:49 UTC,completed,ios,Safari 12.0,d4b412dc-1fff-11e9-8958-d49893adba16,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),9,9,5,2,5,5,3,5,3,1,3,NA,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,Convient parfaitement pour l usage que j’ en ai . Je vais voir pour y ajouter une imprimante pour les reçuts clients .,L imprimante
2019-04-25 15:57:13 UTC,2019-04-25 16:00:31 UTC,completed,android,Chrome 67.0.3396.87,a0e83aa0-4869-11e8-b756-1193a39ec03c,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),9,9,5,3,4,4,5,NA,4,NA,NA,NA,,,,,,,,,,Aucune des réponses ci-dessus,,Satisfait,Non
2019-04-25 16:16:26 UTC,2019-04-25 16:18:06 UTC,completed,ios,Safari 12.1,085254b0-485a-11e8-a302-ac97e91c33f4,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,"J'ai utilisé, ou vu quelqu'un utiliser iZettle pour acheter quelque chose",8,10,4,2,4,4,3,4,5,1,5,3,,,,,,,,,Lecteur de carte,,,Imprimante moin chères ...,Jd
2019-04-25 19:01:53 UTC,2019-04-25 19:15:06 UTC,completed,android,Chrome 67.0.3396.87,3becb34e-20a2-11e9-97ee-bd785eb7b48d,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,"J'ai utilisé, ou vu quelqu'un utiliser iZettle pour acheter quelque chose",10,10,5,2,5,5,5,5,5,NA,5,NA,Outils de gestion des stocks,,,Outils comptables,,,,,,,,Le jour ou le taux passe au meme taux que les banques ca serait parfait parce que le fonctionnement est parfait et plait beaucoup aux clients,Je ne sais pas
2019-04-25 19:04:29 UTC,2019-04-25 19:10:26 UTC,completed,windows,Chrome 74.0.3729.108,13838bd0-207f-11e9-9a9e-3bf55aa9ad0d,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicité sur internet,7,7,4,2,2,3,4,4,3,2,3,1,,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,,,,,,,,,"Je souhaiterais avoir la possibilité de voir apparaître le nom du client dans les rapport mensuels. Aussi, la possibilité d'imprimer le reçu sur mon imprimante réseau HP.",Je viens d'expliquer ça à la précédente question.
2019-04-26 05:35:06 UTC,2019-04-26 05:39:24 UTC,completed,android,Chrome 73.0.3683.90,f9fe4240-487a-11e8-8df7-46fc54c25639,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),9,9,5,5,5,5,5,5,5,5,5,5,,Outils de suivi et d'analyse des ventes,,Outils comptables,,,,,,,,"Manque d'un outil pour analyser les ventes, cela serait intéressant pour s'améliorer",.
2019-04-26 07:54:14 UTC,2019-04-26 07:55:49 UTC,completed,ios,Safari 12.1,c6712730-207e-11e9-9953-a5222c6fc5ea,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicité sur internet,9,9,5,3,NA,NA,5,5,NA,5,NA,NA,,,,,,,,,,Aucune des réponses ci-dessus,,Les frais de transaction mais c’est pareil pour toutes les sociétés,Rien
2019-04-26 16:13:24 UTC,2019-04-26 16:16:12 UTC,completed,mac,Firefox 48.0,834f94d0-4967-11e8-a768-5cfe7fefbfef,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Quelqu'un m'a recommandé iZettle,8,9,4,3,4,4,4,4,4,4,4,4,,,Fonction de gestion de la fidélisation / CRM,,,,,,,,,manque le téléphone : service direct,code produits
2019-04-26 19:10:28 UTC,2019-04-26 19:17:16 UTC,completed,ios,Safari 12.1,a21b1e00-4969-11e8-a7f6-16459e4ed9db,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),10,10,5,3,5,5,4,5,5,5,5,5,,,,Outils comptables,,,Facturation,,,,,Dommage que vous ne preniez pas les Iban étrangers genre « Angleterre ou allemand »... si non c’est impeccable pour les petites sociétés....,Un service vocal...
