Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. ¿Cómo conociste sobre iZettle?,"2. 2. En general, ¿cuál es tu grado de satisfacción con iZettle?",3. 3. ¿Qué tan probable es que recomiendes iZettle a tus amigos o colegas?,"4.1. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Atención al cliente","4.2. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Informes de ventas","4.3. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Importe total que puedes aceptar en cada pago con tarjeta","4.4. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Comisiones de pago","4.5. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Ofrecerles a tus clientes un recibo","4.6. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Lector de tarjetas","4.7. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Esfuerzo comunicativo (por ejemplo, sobre nuevas características o versiones de iZettle, consejos y trucos, actualizaciones de la cuenta)","4.8. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Depósitos","4.9. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Compatibilidad con accesorios (por ejemplo, impresoras, soportes, lectores de códigos de barras, etc.)","4.10. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Tu cuenta en my.izettle.com","4.11. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Aceptación de pagos","5. 5. Por lo que sabes, ¿cuáles de los siguientes productos, servicios o soluciones puede ofrecer iZettle a los pequeños negocios?",,,,,,,,,,,"6. 6. Siempre intentamos ampliar y mejorar el servicio que ofrecemos a nuestros clientes. Por favor, explica a continuación si hay algo que te disguste especialmente:","7. 7. Siempre intentamos ampliar y mejorar el servicio que ofrecemos a nuestros clientes. Por favor, explica a continuación si echas en falta alguna característica en nuestro servicio:"
2019-05-31 08:08:29 UTC,2019-05-31 08:13:15 UTC,completed,android,Chrome 63.0.3239.111,a817b5c0-6444-11e8-80d5-ba4f4645fbf0,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Tienda mediamart,5,5,3,5,3,2,3,5,3,3,4,3,3,,,,,,,,,Ninguno de las anteriores,,,Las comiciones,No
2019-06-06 08:57:54 UTC,2019-06-06 09:00:00 UTC,completed,mac,Safari 12.1.1,512c8d08-406c-11e9-9e68-22cb13f14da0,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Ads en la web,10,10,5,4,5,2,5,4,4,4,NA,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,Herramientas de contabilidad,,,,Nada,Nada
2019-06-09 20:20:45 UTC,2019-06-09 20:24:52 UTC,completed,ios,Safari 12.1.1,a8726c30-6963-11e8-bd8c-236d4fd372e4,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,8,8,4,4,4,3,4,4,4,3,NA,NA,4,,,,,,,Lector de tarjetas,,,,,El plazo en que está disponible el efectivo,No
2019-06-10 19:45:26 UTC,2019-06-10 19:49:22 UTC,completed,android,Chrome 74.0.3729.157,6c0cc120-6cd1-11e8-a2ad-65fb106fddca,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,A través del banco,9,9,4,4,4,4,4,4,4,4,4,4,4,,,,,,,Lector de tarjetas,,,,,Pues no hay nada,No
2019-06-11 07:49:02 UTC,2019-06-11 07:53:05 UTC,completed,android,Chrome 34.0.1847.76,1f2762b2-44d9-11e9-af1d-d863fed2684f,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Ads en la web,10,10,5,5,5,5,5,5,3,5,5,5,5,,,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,,,,No me disgusta nada,No
2019-06-13 17:36:18 UTC,2019-06-13 17:40:52 UTC,completed,ios,Safari 12.1.1,68662980-6f51-11e8-963c-43bbad19c1e0,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),9,9,4,4,4,4,4,4,3,4,3,3,4,,,,,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,,,,,.,.
2019-06-16 09:06:11 UTC,2019-06-16 09:10:23 UTC,completed,ios,Safari 12.0,2ceea7e0-6fb2-11e8-b699-ea11af8aec08,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),8,8,5,3,3,1,3,5,5,3,3,3,4,,,,,,,Lector de tarjetas,,,,,En principio nada porque solo utilizo el lector y estoy contenta con ello,De momento no
2019-06-17 18:22:29 UTC,2019-06-17 18:25:43 UTC,completed,ios,Safari 12.1.1,004ebe18-4771-11e9-829b-15b8fb2e2040,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,10,10,5,5,5,3,5,5,5,4,5,5,5,,,,,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,Herramientas de contabilidad,,,,De momento estoy contenta,De momento no
2019-06-27 07:31:56 UTC,2019-06-27 07:37:02 UTC,completed,ios,Safari 12.1,48607610-5121-11e9-9745-f5e075191d22,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Búsqueda en la web (Google),8,8,4,5,4,4,3,4,4,4,4,4,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,Herramientas de contabilidad,,,,El fabricar una impresora acorde con el producto. No depender de terceras empresas para comprar la impresora.,Integrar una pequeña impresora en el lector. Sería redondo
2019-06-30 09:24:40 UTC,2019-06-30 09:34:26 UTC,completed,mac,Safari 12.0,5b37d5f4-53ff-11e9-b8d1-ed663408b8af,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Redes sociales,8,8,4,4,5,2,4,4,3,3,3,3,5,,,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,,,,,,no,por ahora no
2019-07-02 21:16:08 UTC,2019-07-02 21:25:59 UTC,completed,ios,Safari 12.0,f98a1bf0-7de9-11e8-9406-4c4857ee116b,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),9,9,NA,4,3,1,5,3,3,4,NA,4,5,,,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,Herramientas de contabilidad,,,,Las comisiones son más bajas en otros dispositivos parecidos,Acceder a algún regalo por pago en iZettle para clientes
2019-07-12 18:44:05 UTC,2019-07-12 18:59:24 UTC,completed,android,Chrome 75.0.3770.101,dc960e70-85d5-11e8-8d50-573de495982d,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),9,9,5,5,5,3,4,5,5,5,5,5,5,,,,,,Herramientas de administración de personal,Lector de tarjetas,,,,,No,No
2019-07-17 08:12:02 UTC,2019-07-17 08:23:06 UTC,completed,android,Chrome 75.0.3770.143,cf6f85f8-611e-11e9-9d02-4d11ae3273f9,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,9,9,5,5,5,3,4,5,5,5,NA,5,5,,,,,,,,,Ninguno de las anteriores,,,Hasta hoy estoy contento pero hay algo que se debería de arreglar en todos los cobros por tarjeta y sería el poder disponer del cobro en el momento de dicho cobro.Como si fuera un cobro físico normal.,No echo en falta nada
2019-07-24 05:32:41 UTC,2019-07-24 05:38:42 UTC,completed,android,Chrome 75.0.3770.143,91899094-665a-11e9-87ca-c545d245ae3e,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Ads en la web,9,7,NA,4,4,2,2,3,3,3,2,4,4,,Sistema de punto de venta,,,,,Lector de tarjetas,,,,,"Redondeo al alza en comisiones, lector de tarjetas a veces no se enciende automáticamente, recibos emitidos con malísima localización geográfica.",
2019-07-25 04:38:11 UTC,2019-07-25 04:44:38 UTC,completed,ios,Safari 9.0,88d861a8-6738-11e9-ab83-5acce2db7b2c,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Redes sociales,8,7,4,4,4,1,4,5,4,4,4,4,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,,Herramientas de contabilidad,,,,La comision con respecto a bancos mucha diferencia,Todo bien gracias
2019-07-26 06:13:36 UTC,2019-07-26 06:16:08 UTC,completed,windows,Chrome 75.0.3770.142,765b68b0-9022-11e8-ad1c-c5ecc663bb98,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,9,9,NA,4,4,3,4,4,3,3,4,4,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,,,"No hay nada que me disguste especialmente, lo único es que cuando a veces no acaba de sincronizar bien la App con el lector y no reconoce la tarjeta del cliente",Ninguna
2019-07-28 08:04:02 UTC,2019-07-28 08:09:05 UTC,completed,windows,Chrome 75.0.3770.100,c2035090-9192-11e8-bcdd-244ad36fad98,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),9,10,3,4,5,2,2,5,2,NA,NA,3,5,,,,,,,,,Ninguno de las anteriores,,,"Me gusta que el dinero fuese ingresado el mismo dia, como en un TPV. Y quitar'ia mi TPV!",Es mas lento que un TPV
2019-07-31 07:02:56 UTC,2019-07-31 07:07:34 UTC,completed,android,Chrome 71.0.3578.141,9b9fc40e-6c2c-11e9-9dab-4b936a6c1391,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Búsqueda en la web (Google),10,10,5,5,5,5,3,5,5,5,3,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,,,,Lector de tarjetas,,,,,Nada,
2019-07-31 10:05:46 UTC,2019-07-31 10:56:56 UTC,completed,windows,Chrome 75.0.3770.142,1d013a42-6c4a-11e9-8b88-7c68bd3a82aa,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,3,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,,,,"En principio desde que llevo trabajando con ustedes, todo perfecto.",de momento no echo en falta nada
2019-08-03 11:02:50 UTC,2019-08-03 11:05:40 UTC,completed,ios,Safari 12.1.1,2a8a8420-9649-11e8-a284-619aa6d9c6d1,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,7,7,4,5,4,4,4,4,4,4,3,4,4,,,,,,,,,Ninguno de las anteriores,,,Hice una devolución con tarjeta y aún no le han devuelto a la clienta y hace más de 4 meses,Nada
2019-08-05 11:25:05 UTC,2019-08-05 11:29:23 UTC,completed,android,Chrome 75.0.3770.143,44c9b9bc-6fdf-11e9-8cb6-fa68f619efac,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,9,9,5,5,5,5,5,3,3,5,5,5,3,,,,,,,Lector de tarjetas,,,,,A veces me resulta imposible que pueda cobrar. Es que no da la orden de introducir tarjeta y supera el límite de espera.,No
2019-08-16 07:36:46 UTC,2019-08-16 07:40:05 UTC,completed,android,Chrome 76.0.3809.111,0b6c2838-78b0-11e9-986b-25169529ee16,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,9,10,4,5,4,3,5,5,5,NA,1,5,5,,,,,,,,,Ninguno de las anteriores,,,Me gustaría que cualquier impresora del mercado reconocible pudiera tener acceso a la aplicación me parece bastante exclusivo que solo una impresora se puede conectar al dispositivo Taki Taki,Debería tener más opciones en los periféricos
2019-08-20 21:19:33 UTC,2019-08-20 21:21:47 UTC,completed,android,Chrome 76.0.3809.111,a4c2990c-7bb4-11e9-adfc-0ef918a2a6a7,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicidad exterior,2,1,4,1,3,1,4,3,2,2,2,2,2,,,,,,,Lector de tarjetas,,,,,La comisión/tasa descuento es muy elevada,No
2019-08-21 20:09:32 UTC,2019-08-21 20:17:11 UTC,completed,windows,Chrome 76.0.3809.100,462d8720-a483-11e8-b43b-3d64c0ae1052,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),9,9,5,5,5,4,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,,,,,"lo unico que no me gusta mucho es lo que tarda en aparecer el dinero cobrado en mi cuenta. me gustaria que fuera al instante o al menos un dia de espera, o en el mismo dia.",no
2019-08-28 06:05:55 UTC,2019-08-28 06:10:03 UTC,completed,android,Chrome 75.0.3770.101,00ede5d0-a9d1-11e8-8ccb-b9181935ade5,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,7,7,4,4,4,3,3,2,4,4,4,4,5,,,,,,,,,Ninguno de las anteriores,,,La avería de un lector de tarjetas por el cual estuve 2 días sin poder aceptar tarjetas de crédito,Ninguna
2019-09-07 11:48:54 UTC,2019-09-07 11:51:14 UTC,completed,windows,Firefox 69.0,05bec88e-86b4-11e9-b75f-4e2540894afd,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Búsqueda en la web (Google),10,10,5,5,5,5,NA,5,5,5,5,5,5,,,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,,,,,NADA,NO
2019-09-16 07:28:27 UTC,2019-09-16 07:30:39 UTC,completed,ios,Safari 12.1.2,c2d7c0ba-9131-11e9-a36d-76548093c7d2,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_SRV-Survey-3-Months-Check A,Búsqueda en la web (Google),10,10,5,3,5,5,3,3,4,3,3,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,,,,Lector de tarjetas,,,,,Ha veces los pagos tardan mucho en llegar,No
